Method,Minute,MeanLatency_ms,StdLatency_ms,Runs
hpa80,0,0.0,0.0,1
hpa80,1,290.91111111111115,0.0,1
hpa80,2,185.2875,0.0,1
hpa80,3,357.6,0.0,1
hpa80,4,324.575,0.0,1
hpa80,5,331.75,0.0,1
hpa80,6,327.35,0.0,1
hpa80,7,290.35555555555555,0.0,1
hpa80,8,223.04999999999998,0.0,1
hpa80,9,250.9375,0.0,1
hpa80,10,206.77777777777777,0.0,1
hpa80,11,423.94444444444446,0.0,1
hpa80,12,224.60000000000002,0.0,1
hpa80,13,292.1875,0.0,1
hpa80,14,410.4875,0.0,1
hpa80,15,212.4375,0.0,1
hpa80,16,305.125,0.0,1
hpa80,17,488.55,0.0,1
hpa80,18,531.2714285714286,0.0,1
hpa80,19,574.8625,0.0,1
hpa80,20,597.125,0.0,1
hpa80,21,601.0,0.0,1
hpa80,22,425.0222222222222,0.0,1
hpa80,23,208.2625,0.0,1
hpa80,24,254.0875,0.0,1
hpa80,25,505.95,0.0,1
hpa80,26,453.8875,0.0,1
hpa80,27,413.0875,0.0,1
hpa80,28,516.85,0.0,1
hpa80,29,433.59999999999997,0.0,1
hpa80,30,526.6444444444445,0.0,1
hpa80,31,315.0777777777778,0.0,1
hpa80,32,333.825,0.0,1
hpa80,33,566.4875,0.0,1
hpa80,34,524.6,0.0,1
