Autoscaler,Minute,MeanReplicas,StdReplicas,MinReplicas,MaxReplicas,Runs
hpa80,0,11.0,0.0,11.0,11.0,1
hpa80,1,11.0,0.0,11.0,11.0,1
hpa80,2,11.0,0.0,11.0,11.0,1
hpa80,3,11.222222222222221,0.0,11.222222222222221,11.222222222222221,1
hpa80,4,13.0,0.0,13.0,13.0,1
hpa80,5,16.0,0.0,16.0,16.0,1
hpa80,6,19.0,0.0,19.0,19.0,1
hpa80,7,21.0,0.0,21.0,21.0,1
hpa80,8,21.75,0.0,21.75,21.75,1
hpa80,9,23.0,0.0,23.0,23.0,1
hpa80,10,24.333333333333332,0.0,24.333333333333332,24.333333333333332,1
hpa80,11,25.0,0.0,25.0,25.0,1
hpa80,12,25.0,0.0,25.0,25.0,1
hpa80,13,25.25,0.0,25.25,25.25,1
hpa80,14,26.0,0.0,26.0,26.0,1
hpa80,15,26.0,0.0,26.0,26.0,1
hpa80,16,26.0,0.0,26.0,26.0,1
hpa80,17,28.0,0.0,28.0,28.0,1
hpa80,18,30.714285714285715,0.0,30.714285714285715,30.714285714285715,1
hpa80,19,33.625,0.0,33.625,33.625,1
hpa80,20,34.0,0.0,34.0,34.0,1
hpa80,21,34.0,0.0,34.0,34.0,1
hpa80,22,33.44444444444444,0.0,33.44444444444444,33.44444444444444,1
hpa80,23,31.75,0.0,31.75,31.75,1
hpa80,24,30.375,0.0,30.375,30.375,1
hpa80,25,28.0,0.0,28.0,28.0,1
hpa80,26,29.0,0.0,29.0,29.0,1
hpa80,27,31.5,0.0,31.5,31.5,1
hpa80,28,32.0,0.0,32.0,32.0,1
hpa80,29,33.0,0.0,33.0,33.0,1
hpa80,30,33.0,0.0,33.0,33.0,1
hpa80,31,31.22222222222222,0.0,31.22222222222222,31.22222222222222,1
hpa80,32,30.625,0.0,30.625,30.625,1
hpa80,33,28.0,0.0,28.0,28.0,1
hpa80,34,28.5,0.0,28.5,28.5,1
