Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20426,9,170,282.40658974488014,64.42779116332531,3777.4886661209166,10274.83109762068,4.726987339644676,0.0020827810661315036,170,210,270,330,580,870,1400,1800,3000,3400,3800
GET,/cart,56750,16,200,242.56587803538167,63.74766584485769,4239.781334064901,14061.768986784142,13.133091722551423,0.003702721895344895,200,220,250,270,370,570,890,1100,2100,3600,4200
POST,/cart,56471,23,270,321.7163081963833,60.382582945749164,4265.140624949709,18134.25768978768,13.068525509501347,0.005322662724558286,270,300,330,350,470,640,1000,1300,2600,3800,4300
POST,/cart/checkout,18852,8,180,233.95395522072695,57.83825018443167,4089.7359589580446,6559.204010184596,4.362732073190123,0.0018513609476724475,180,210,240,260,340,460,880,1200,2300,4000,4100
GET,/product/0PUK6V6EV0,27307,5,140,188.100456403755,57.93679179623723,3268.3798330836,7736.700040282712,6.31938917476144,0.0011571005922952798,140,160,180,200,280,460,840,1100,1900,3000,3300
GET,/product/1YMWWN1N4O,27124,1,140,189.13127257328458,65.28670806437731,3265.5595829710364,7760.195878189058,6.277039293083433,0.00023142011845905594,140,160,180,200,280,470,840,1100,2000,3100,3300
GET,/product/2ZYFJ3GM2N,27078,6,140,189.77363067227512,62.91487510316074,3369.0537500660866,7755.204446414063,6.2663939676343166,0.0013885207107543357,140,160,180,200,280,460,840,1100,2300,3300,3400
GET,/product/66VCHSJNUP,26958,3,140,186.1022491912851,69.10991598851979,3464.9184171576053,7722.701424438014,6.23862355341923,0.0006942603553771678,140,160,180,200,270,450,810,1000,1900,3200,3500
GET,/product/6E92ZMYYFZ,27020,7,140,187.30268033502622,69.81766689568758,3628.6556250415742,7711.3052183567725,6.252971600763692,0.0016199408292133916,140,160,180,200,270,450,830,1000,2000,3200,3600
GET,/product/9SIQT8TOJO,27302,4,140,187.7307283696104,63.1565828807652,3812.7452079206705,7763.879202988792,6.318232074169145,0.0009256804738362237,140,160,180,200,280,460,820,1000,2000,3400,3800
GET,/product/L9ECAV7KIM,26952,6,140,188.52286635833158,67.36779189668596,3195.797791937366,7729.274710596616,6.237235032708475,0.0013885207107543357,140,160,180,200,280,470,840,1100,2100,3000,3200
GET,/product/LS4PSXUNUM,26972,7,140,189.14648817700763,68.18216689862311,3786.7904170416296,7728.2735058579265,6.241863435077657,0.0016199408292133916,140,160,180,200,280,460,830,1100,2100,3500,3800
GET,/product/OLJCESPC7Z,27151,3,140,190.46106058139986,70.14204212464392,4113.451874814928,7762.114470921882,6.283287636281828,0.0006942603553771678,140,160,180,200,280,480,830,1100,2000,3400,4100
POST,/setCurrency,18823,9,220,299.41415259267893,58.88304207473993,3686.028500087559,10282.067630027095,4.35602088975481,0.0020827810661315036,220,260,290,330,490,700,1100,1400,2600,3500,3700
,Aggregated,415186,107,170,225.70711387631405,57.83825018443167,4265.140624949709,10204.858383953217,96.0823933025416,0.024761952675118985,170,210,240,260,360,560,910,1200,2300,3400,4300
