Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-09-01 17:29:59,deployment,adservice,8,95,1,,,
2026-09-01 17:29:59,deployment,cartservice,14,42,1,,,
2026-09-01 17:29:59,deployment,checkoutservice,8,11,1,,,
2026-09-01 17:29:59,deployment,currencyservice,11,63,1,,,
2026-09-01 17:29:59,deployment,emailservice,16,40,1,,,
2026-09-01 17:29:59,deployment,frontend,0,13,1,,,
2026-09-01 17:29:59,http_p95_latency,frontend,,,,,,0.0
2026-09-01 17:29:59,deployment,paymentservice,7,31,1,,,
2026-09-01 17:29:59,deployment,productcatalogservice,12,9,1,,,
2026-09-01 17:29:59,deployment,recommendationservice,19,41,1,,,
2026-09-01 17:29:59,deployment,redis-cart,5,46,1,,,
2026-09-01 17:29:59,deployment,shippingservice,12,9,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-cartservice,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-emailservice,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-frontend,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,0,0,1,,,
2026-09-01 17:29:59,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,0,0,1,,,
2026-09-01 17:29:59,node,ze-master-node,543,3377,,13.6,42.5,
2026-09-01 17:29:59,node,ze-worker-node,217,1595,,5.4,20.1,
2026-09-01 17:30:06,deployment,adservice,5,95,1,,,
2026-09-01 17:30:06,deployment,cartservice,9,40,1,,,
