Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20870,2,150,199.25573222590393,61.36316619813442,2077.9396668076515,10278.911978917105,4.830081341002271,0.0004628731519887178,150,180,200,230,340,460,690,880,1300,1900,2100
GET,/cart,57305,8,190,207.80946873530652,58.92291571944952,3301.5263751149178,14020.870988569934,13.262472987356738,0.0018514926079548713,190,210,230,240,290,350,560,820,1300,2200,3300
POST,/cart,56950,14,260,291.412712010703,57.65416659414768,3413.19362539798,18150.024530289727,13.180313002878739,0.0032401120639210246,260,280,300,320,390,500,880,1100,1800,2500,3400
POST,/cart/checkout,18872,5,190,221.85531303315867,59.268082957714796,3447.132292203605,6560.700561678677,4.367671062165542,0.0011571828799717945,190,210,230,250,300,390,740,1000,1500,2600,3400
GET,/product/0PUK6V6EV0,27306,6,130,161.73293927413891,57.505832985043526,3581.6211253404617,7736.990624771112,6.319607144101965,0.0013886194559661535,130,150,160,170,210,280,520,800,1300,2900,3600
GET,/product/1YMWWN1N4O,27527,6,130,159.25755073246123,65.15633314847946,3277.134166099131,7758.535764885385,6.3707546273967175,0.0013886194559661535,130,150,160,170,210,270,460,740,1200,2100,3300
GET,/product/2ZYFJ3GM2N,27576,3,130,160.7557632110821,69.81766689568758,3052.0920418202877,7756.217290397447,6.382095019620441,0.0006943097279830768,130,150,160,170,210,270,500,760,1200,2200,3100
GET,/product/66VCHSJNUP,27266,6,130,160.43611307150118,58.022374752908945,2759.649250190705,7722.057727572801,6.31034968106219,0.0013886194559661535,130,150,160,170,210,270,500,770,1200,2400,2800
GET,/product/6E92ZMYYFZ,27419,4,130,160.70788431561246,72.74920772761106,3136.742333881557,7711.816951748788,6.345759477189326,0.0009257463039774356,130,150,160,170,210,270,510,770,1200,2200,3100
GET,/product/9SIQT8TOJO,27546,3,130,160.3764265524373,58.85829217731953,2163.454375229776,7763.863718870253,6.375151922340611,0.0006943097279830768,130,150,160,170,210,280,500,750,1200,1800,2200
GET,/product/L9ECAV7KIM,27633,3,130,161.05587052495005,62.119374983012676,2819.3014170974493,7730.061520645605,6.39528690445212,0.0006943097279830768,130,150,160,170,210,270,520,790,1300,2200,2800
GET,/product/LS4PSXUNUM,27502,4,130,160.15576082808352,60.24487502872944,3491.104249842465,7728.649225510872,6.364968712996859,0.0009257463039774356,130,150,160,170,210,270,500,770,1300,2100,3500
GET,/product/OLJCESPC7Z,27195,5,130,160.02476486673817,61.7210422642529,3533.764250110835,7761.059900717044,6.2939176841665905,0.0011571828799717945,130,150,160,170,210,280,470,750,1200,1900,3500
POST,/setCurrency,19201,3,210,238.82871307682447,117.68237501382828,2047.6104579865932,10285.25753866986,4.443813695667686,0.0006943097279830768,210,230,240,260,310,390,630,850,1300,2000,2000
,Aggregated,420168,72,160,192.95680087217875,57.505832985043526,3581.6211253404617,10197.673195007712,97.24224326239779,0.016663433471593842,160,190,210,230,290,360,600,860,1400,2300,3600
