Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-27 20:34:13,deployment,adservice,6,93,1,,,
2026-08-27 20:34:13,deployment,cartservice,9,44,1,,,
2026-08-27 20:34:13,deployment,checkoutservice,10,10,1,,,
2026-08-27 20:34:13,deployment,currencyservice,11,62,1,,,
2026-08-27 20:34:13,deployment,emailservice,20,40,1,,,
2026-08-27 20:34:13,deployment,frontend,0,13,1,,,
2026-08-27 20:34:13,http_p95_latency,frontend,,,,,,0.0
2026-08-27 20:34:13,deployment,paymentservice,9,30,1,,,
2026-08-27 20:34:13,deployment,productcatalogservice,7,9,1,,,
2026-08-27 20:34:13,deployment,recommendationservice,19,44,1,,,
2026-08-27 20:34:13,deployment,redis-cart,4,21,1,,,
2026-08-27 20:34:13,deployment,shippingservice,11,9,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-cartservice,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-emailservice,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-frontend,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,0,0,1,,,
2026-08-27 20:34:13,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,0,0,1,,,
2026-08-27 20:34:13,node,ze-master-node,678,3266,,17.0,41.1,
2026-08-27 20:34:13,node,ze-worker-node,397,2412,,9.9,30.4,
2026-08-27 20:34:23,deployment,adservice,6,93,1,,,
2026-08-27 20:34:23,deployment,cartservice,11,44,1,,,
2026-08-27 20:34:23,deployment,checkoutservice,6,10,1,,,
2026-08-27 20:34:23,deployment,currencyservice,6,62,1,,,
2026-08-27 20:34:23,deployment,emailservice,20,40,1,,,
2026-08-27 20:34:23,deployment,frontend,0,13,1,,,
2026-08-27 20:34:23,http_p95_latency,frontend,,,,,,0.0
2026-08-27 20:34:23,deployment,paymentservice,8,31,1,,,
2026-08-27 20:34:23,deployment,productcatalogservice,9,9,1,,,
2026-08-27 20:34:23,deployment,recommendationservice,14,44,1,,,
2026-08-27 20:34:23,deployment,redis-cart,4,21,1,,,
2026-08-27 20:34:23,deployment,shippingservice,14,9,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,0,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-cartservice,79,60,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,58,60,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,83,60,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-emailservice,62,60,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-frontend,66,60,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,71,60,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,53,60,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,53,60,1,,,
2026-08-27 20:34:23,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,56,60,1,,,
2026-08-27 20:34:23,node,ze-master-node,1981,3830,,49.5,48.2,
2026-08-27 20:34:23,node,ze-worker-node,1277,2450,,31.9,30.9,
2026-08-27 20:34:32,deployment,adservice,6,93,1,,,
2026-08-27 20:34:32,deployment,cartservice,11,44,1,,,
2026-08-27 20:34:32,deployment,checkoutservice,6,10,1,,,
2026-08-27 20:34:32,deployment,currencyservice,6,62,1,,,
2026-08-27 20:34:32,deployment,emailservice,20,40,1,,,
2026-08-27 20:34:32,deployment,frontend,0,13,1,,,
2026-08-27 20:34:32,http_p95_latency,frontend,,,,,,0.0
2026-08-27 20:34:32,deployment,paymentservice,8,31,1,,,
2026-08-27 20:34:32,deployment,productcatalogservice,9,9,1,,,
2026-08-27 20:34:32,deployment,recommendationservice,14,44,1,,,
2026-08-27 20:34:32,deployment,redis-cart,4,21,1,,,
2026-08-27 20:34:32,deployment,shippingservice,14,9,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,0,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-cartservice,79,60,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,58,60,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,83,60,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-emailservice,62,60,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-frontend,4,60,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,3,60,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,12,60,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,14,60,1,,,
2026-08-27 20:34:32,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,6,60,1,,,
2026-08-27 20:34:32,node,ze-master-node,796,3795,,19.9,47.8,
2026-08-27 20:34:32,node,ze-worker-node,511,2512,,12.8,31.6,
2026-08-27 20:34:40,deployment,adservice,6,93,1,,,
2026-08-27 20:34:40,deployment,cartservice,8,44,1,,,
2026-08-27 20:34:40,deployment,checkoutservice,6,10,1,,,
2026-08-27 20:34:40,deployment,currencyservice,7,62,1,,,
2026-08-27 20:34:40,deployment,emailservice,16,40,1,,,
2026-08-27 20:34:40,deployment,frontend,0,13,1,,,
2026-08-27 20:34:40,http_p95_latency,frontend,,,,,,0.0
2026-08-27 20:34:40,deployment,paymentservice,4,31,1,,,
2026-08-27 20:34:40,deployment,productcatalogservice,9,9,1,,,
2026-08-27 20:34:40,deployment,recommendationservice,17,44,1,,,
2026-08-27 20:34:40,deployment,redis-cart,4,21,1,,,
2026-08-27 20:34:40,deployment,shippingservice,8,9,1,,,
2026-08-27 20:34:40,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,60,1,,,
2026-08-27 20:34:40,autoscaler,customdas-cpu-queue-autoscaler-cartservice,79,60,1,,,
2026-08-27 20:34:40,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,56,60,1,,,
