Minute,Timestamp,Total Request Count,SelectedLatency_ms,CumulativeSLOViolationRate_percent,Method,DisplayName,Run,File
0,1788203644,230,460.0,4.837837837837844,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
1,1788203704,474,320.0,3.540540540540549,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
2,1788203764,1041,360.0,4.023255813953497,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
3,1788203824,2122,550.0,6.470588235294117,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
4,1788203884,3753,600.0,7.380952380952377,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
5,1788203944,5918,550.0,6.562500000000004,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
6,1788204004,8664,570.0,7.187500000000002,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
7,1788204064,11942,500.0,5.000000000000004,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
8,1788204124,15875,450.0,4.375000000000007,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
9,1788204184,20242,420.0,3.9090909090909176,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
10,1788204244,25167,410.0,3.826086956521746,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
11,1788204304,30679,400.0,3.6956521739130443,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
12,1788204364,36775,400.0,3.750000000000009,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
13,1788204424,41790,400.0,3.8888888888888973,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
14,1788204484,46574,390.0,3.77777777777778,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
15,1788204544,52282,390.0,3.8214285714285756,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
16,1788204604,59964,400.0,3.9655172413793127,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
17,1788204664,69185,440.0,4.400000000000004,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
18,1788204724,78607,460.0,4.555555555555557,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
19,1788204784,86970,460.0,4.555555555555557,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
20,1788204844,93770,450.0,4.42307692307693,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
21,1788204904,99818,440.0,4.2800000000000065,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
22,1788204964,104418,430.0,4.160000000000008,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
23,1788205024,109731,420.0,4.039999999999999,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
24,1788205084,115959,420.0,4.0000000000000036,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
25,1788205144,124538,420.0,3.9565217391304364,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
26,1788205204,133846,420.0,4.0000000000000036,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
27,1788205264,142670,420.0,3.9565217391304364,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
28,1788205324,150015,410.0,3.826086956521746,queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv
