Method,DisplayName,Run,File,SLOViolationRate_percent,TotalRequestCount
queue-CDT300,Queue-CDT300,1,queue-CDT300-1_stats_history.csv,2.187499999999998,419717
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1_stats_history.csv,5.681818181818188,417526
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2_stats_history.csv,6.923076923076921,416733
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3_stats_history.csv,7.222222222222219,415485
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4_stats_history.csv,6.666666666666665,416737
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5_stats_history.csv,6.25,418102
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1_stats_history.csv,4.441860465116287,419366
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2_stats_history.csv,6.458333333333332,416440
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3_stats_history.csv,5.714285714285716,417811
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4_stats_history.csv,6.25,417303
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5_stats_history.csv,6.400000000000006,417117
hybrid-CDT120,Hybrid-CDT120,1,hybrid-CDT120-1_stats_history.csv,3.741935483870973,419997
hybrid-CDT120,Hybrid-CDT120,2,hybrid-CDT120-2_stats_history.csv,3.8529411764705923,419070
hybrid-CDT120,Hybrid-CDT120,3,hybrid-CDT120-3_stats_history.csv,3.8181818181818206,420108
hybrid-CDT120,Hybrid-CDT120,4,hybrid-CDT120-4_stats_history.csv,3.8857142857142923,419947
hybrid-CDT120,Hybrid-CDT120,5,hybrid-CDT120-5_stats_history.csv,3.8181818181818206,419204
hybrid-CDT300,Hybrid-CDT300,1,hybrid-CDT300-1_stats_history.csv,3.833333333333333,420092
hybrid-CDT300,Hybrid-CDT300,2,hybrid-CDT300-2_stats_history.csv,3.7272727272727346,419487
hybrid-CDT300,Hybrid-CDT300,3,hybrid-CDT300-3_stats_history.csv,3.741935483870973,419803
hybrid-CDT300,Hybrid-CDT300,4,hybrid-CDT300-4_stats_history.csv,3.2692307692307687,421061
hybrid-CDT300,Hybrid-CDT300,5,hybrid-CDT300-5_stats_history.csv,3.86486486486487,419963
