Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4705,0,150,229.50869095071312,91.86262497678399,2381.323290988803,10275.012752391074,1.0890077725119924,0.0,150,170,210,250,440,710,950,1100,2100,2400,2400
GET,/cart,12089,4,190,212.36804985553437,63.33108292892575,2657.036041142419,13820.556869881711,2.7980903213384645,0.0009258301997976556,190,200,220,230,280,400,800,1000,1600,2300,2700
POST,/cart,11975,1,250,276.67333266653105,152.4726659990847,3136.2443331163377,17991.275574112737,2.7717041606442314,0.0002314575499494139,250,270,290,300,340,430,790,1100,1900,2400,3100
POST,/cart/checkout,4056,0,170,196.58351575767924,103.25550008565187,2196.9570419751108,6562.071499013807,0.9387918225948227,0.0,170,190,200,220,260,310,420,910,1500,2200,2200
GET,/product/0PUK6V6EV0,5830,2,130,174.2924461852101,57.89054208435118,2168.169208103791,7734.785934819897,1.349397516205083,0.0004629150998988278,130,140,150,160,210,410,920,1100,1700,2200,2200
GET,/product/1YMWWN1N4O,5779,2,130,171.0643246408915,61.70854181982577,2523.715417133644,7755.594912614639,1.337593181157663,0.0004629150998988278,130,140,150,160,210,380,830,1100,1900,2500,2500
GET,/product/2ZYFJ3GM2N,5762,0,130,168.72365649673844,86.98883303441107,2393.152541015297,7753.584519264145,1.333658402808523,0.0,130,140,150,160,200,360,830,1100,1900,2400,2400
GET,/product/66VCHSJNUP,5751,3,130,169.23518477303614,67.83675006590784,2172.73116693832,7720.683185532951,1.3311123697590794,0.0006943726498482417,130,140,150,160,210,360,820,1100,1900,2200,2200
GET,/product/6E92ZMYYFZ,5744,2,130,166.67479720064907,57.137749856337905,2386.7251670453697,7707.836699164345,1.3294921669094335,0.0004629150998988278,130,140,150,160,200,330,780,1100,1600,2400,2400
GET,/product/9SIQT8TOJO,5704,1,130,171.00463270970266,76.24787511304021,2497.991499956697,7762.443373071529,1.320233864911457,0.0002314575499494139,130,140,150,160,210,380,840,1100,2000,2500,2500
GET,/product/L9ECAV7KIM,5834,0,130,167.9284675820243,83.94333301112056,2174.030916998163,7729.904868015084,1.3503233464048807,0.0,130,140,150,160,200,350,830,1100,1600,2200,2200
GET,/product/LS4PSXUNUM,5781,1,130,172.5618827156803,61.6711659822613,1803.43670793809,7726.203079052068,1.3380560962575618,0.0002314575499494139,130,140,150,160,210,440,830,1100,1600,1800,1800
GET,/product/OLJCESPC7Z,5657,2,130,170.2239070774927,63.23820794932544,2347.7766250725836,7758.35831712922,1.3093553600638344,0.0004629150998988278,130,140,150,160,210,370,800,1100,1700,2300,2300
POST,/setCurrency,4002,0,200,248.90222068267946,148.03204196505249,2213.310583960265,10285.073213393303,0.9262931148975544,0.0,200,220,240,250,310,510,850,1100,1600,2200,2200
,Aggregated,88669,18,150,198.23109888917213,57.137749856337905,3136.2443331163377,10148.250843022928,20.52310949646458,0.00416623589908945,150,190,210,220,290,420,840,1100,1800,2400,3100
