Method,DisplayName,Minute,MeanLatency_ms,StdLatency_ms,MeanCumulativeSLOViolationRate_percent,StdCumulativeSLOViolationRate_percent,Runs
queue-CDT300,Queue-CDT300,0,350.0,0.0,4.307692307692312,0.0,1
queue-CDT300,Queue-CDT300,1,300.0,0.0,2.6000000000000023,0.0,1
queue-CDT300,Queue-CDT300,2,290.0,0.0,1.4285714285714346,0.0,1
queue-CDT300,Queue-CDT300,3,290.0,0.0,1.2631578947368438,0.0,1
queue-CDT300,Queue-CDT300,4,290.0,0.0,1.0000000000000009,0.0,1
queue-CDT300,Queue-CDT300,5,290.0,0.0,0.9513513513513483,0.0,1
queue-CDT300,Queue-CDT300,6,300.0,0.0,0.918181818181818,0.0,1
queue-CDT300,Queue-CDT300,7,300.0,0.0,0.9076923076923094,0.0,1
queue-CDT300,Queue-CDT300,8,290.0,0.0,0.8826086956521761,0.0,1
queue-CDT300,Queue-CDT300,9,290.0,0.0,0.894117647058823,0.0,1
queue-CDT300,Queue-CDT300,10,300.0,0.0,0.894117647058823,0.0,1
queue-CDT300,Queue-CDT300,11,290.0,0.0,0.8826086956521761,0.0,1
queue-CDT300,Queue-CDT300,12,290.0,0.0,0.8826086956521761,0.0,1
queue-CDT300,Queue-CDT300,13,300.0,0.0,0.8826086956521761,0.0,1
queue-CDT300,Queue-CDT300,14,290.0,0.0,0.8826086956521761,0.0,1
queue-CDT300,Queue-CDT300,15,290.0,0.0,0.8499999999999952,0.0,1
queue-CDT300,Queue-CDT300,16,290.0,0.0,0.8627118644067844,0.0,1
queue-CDT300,Queue-CDT300,17,290.0,0.0,0.8627118644067844,0.0,1
queue-CDT300,Queue-CDT300,18,300.0,0.0,0.8627118644067844,0.0,1
queue-CDT300,Queue-CDT300,19,300.0,0.0,0.8499999999999952,0.0,1
queue-CDT300,Queue-CDT300,20,300.0,0.0,0.8499999999999952,0.0,1
queue-CDT300,Queue-CDT300,21,300.0,0.0,0.9333333333333305,0.0,1
queue-CDT300,Queue-CDT300,22,300.0,0.0,0.918181818181818,0.0,1
queue-CDT300,Queue-CDT300,23,380.0,0.0,3.285714285714292,0.0,1
queue-CDT300,Queue-CDT300,24,370.0,0.0,3.1428571428571472,0.0,1
queue-CDT300,Queue-CDT300,25,370.0,0.0,3.1428571428571472,0.0,1
queue-CDT300,Queue-CDT300,26,370.0,0.0,3.0500000000000083,0.0,1
queue-CDT300,Queue-CDT300,27,360.0,0.0,3.0000000000000027,0.0,1
queue-CDT300,Queue-CDT300,28,360.0,0.0,2.7894736842105305,0.0,1
queue-CDT300,Queue-CDT300,29,360.0,0.0,2.7894736842105305,0.0,1
queue-CDT300,Queue-CDT300,30,360.0,0.0,2.52941176470588,0.0,1
