Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4685,0,160,235.83170572323615,95.44512489810586,2909.8503328859806,10275.297331910353,1.084306934148706,0.0,160,190,220,260,440,650,1100,1300,1600,2900,2900
GET,/cart,12063,1,200,213.33437181424316,84.12175020202994,3338.6314171366394,13781.509326038298,2.791887843465494,0.00023144224848424888,200,220,230,240,290,350,570,840,1400,3100,3300
POST,/cart,11957,3,250,288.6743190427816,60.61587482690811,3230.2246671169996,18062.71255331605,2.7673549651261635,0.0006943267454527466,250,280,300,320,380,470,740,1100,2000,3000,3200
POST,/cart/checkout,3971,0,180,212.79565923985865,99.64433405548334,2973.679957911372,6562.32938806346,0.9190571687309522,0.0,180,200,220,230,280,330,510,940,1600,3000,3000
GET,/product/0PUK6V6EV0,5761,0,140,168.1909870134524,91.34716680273414,2724.915790837258,7737.397326852977,1.3333387935177576,0.0,140,150,160,180,220,280,550,900,1400,2700,2700
GET,/product/1YMWWN1N4O,5770,3,140,165.29042253890552,62.80741700902581,2777.348832692951,7755.079722703639,1.335421773754116,0.0006943267454527466,140,150,160,180,210,280,540,790,1300,2800,2800
GET,/product/2ZYFJ3GM2N,5826,0,140,163.67579042915366,90.65283322706819,2847.577542066574,7756.253347064881,1.348382539669234,0.0,140,150,160,180,220,280,440,700,1500,2800,2800
GET,/product/66VCHSJNUP,5803,0,140,163.38651873854695,89.65533319860697,2876.245374791324,7722.637256591418,1.343059367954096,0.0,140,150,160,170,210,280,470,710,1300,2900,2900
GET,/product/6E92ZMYYFZ,5827,2,140,166.85409053951702,61.96550000458956,2942.7399998530746,7709.343744637034,1.348613981917718,0.00046288449696849776,140,150,170,180,220,300,560,790,1400,2900,2900
GET,/product/9SIQT8TOJO,5751,1,140,160.07471699986644,67.45608290657401,1369.5112909190357,7761.898104677447,1.3310243710329153,0.00023144224848424888,140,150,160,170,210,270,410,650,1100,1400,1400
GET,/product/L9ECAV7KIM,5779,1,140,165.75254198227566,72.27958273142576,2665.926083922386,7728.855857414777,1.3375047539904743,0.00023144224848424888,140,150,170,180,220,280,490,820,1400,2700,2700
GET,/product/LS4PSXUNUM,5846,1,140,167.02209520999634,64.98654093593359,2500.200207810849,7727.28412589805,1.353011384638919,0.00023144224848424888,140,150,170,180,220,290,550,800,1400,2500,2500
GET,/product/OLJCESPC7Z,5738,0,140,165.03996086425678,83.770708180964,3213.100708089769,7761.176542349251,1.32801562180262,0.0,140,150,170,180,220,280,460,740,1300,3200,3200
POST,/setCurrency,4043,1,220,245.03725615988623,58.24541673064232,2528.219375293702,10283.261192184022,0.9357210106218182,0.00023144224848424888,220,230,250,260,310,390,550,780,1400,2500,2500
,Aggregated,88820,13,160,197.75077815250336,58.24541673064232,3338.6314171366394,10146.971065075433,20.556700510370984,0.0030087492302952354,160,200,220,230,290,360,600,890,1500,2900,3300
