Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-27 08:12:18,deployment,adservice,9,93,1,,,
2026-08-27 08:12:18,deployment,cartservice,10,44,1,,,
2026-08-27 08:12:18,deployment,checkoutservice,8,12,1,,,
2026-08-27 08:12:18,deployment,currencyservice,18,84,2,,,
2026-08-27 08:12:18,deployment,emailservice,18,40,1,,,
2026-08-27 08:12:18,deployment,frontend,0,13,1,,,
2026-08-27 08:12:18,http_p95_latency,frontend,,,,,,0.0
2026-08-27 08:12:18,deployment,paymentservice,7,30,1,,,
2026-08-27 08:12:18,deployment,productcatalogservice,9,8,1,,,
2026-08-27 08:12:18,deployment,recommendationservice,17,44,1,,,
2026-08-27 08:12:18,deployment,redis-cart,4,17,1,,,
2026-08-27 08:12:18,deployment,shippingservice,11,9,1,,,
2026-08-27 08:12:18,node,ze-master-node,595,3136,,14.9,39.5,
2026-08-27 08:12:18,node,ze-worker-node,344,2346,,8.6,29.5,
2026-08-27 08:12:25,deployment,adservice,7,92,1,,,
2026-08-27 08:12:25,deployment,cartservice,10,44,1,,,
2026-08-27 08:12:25,deployment,checkoutservice,8,12,1,,,
2026-08-27 08:12:25,deployment,currencyservice,7,61,1,,,
2026-08-27 08:12:25,deployment,emailservice,18,40,1,,,
2026-08-27 08:12:25,deployment,frontend,0,13,1,,,
2026-08-27 08:12:25,http_p95_latency,frontend,,,,,,0.0
2026-08-27 08:12:25,deployment,paymentservice,7,30,1,,,
2026-08-27 08:12:25,deployment,productcatalogservice,9,8,1,,,
2026-08-27 08:12:25,deployment,recommendationservice,17,44,1,,,
2026-08-27 08:12:25,deployment,redis-cart,4,17,1,,,
2026-08-27 08:12:25,deployment,shippingservice,11,9,1,,,
2026-08-27 08:12:25,node,ze-master-node,595,3136,,14.9,39.5,
2026-08-27 08:12:25,node,ze-worker-node,344,2346,,8.6,29.5,
2026-08-27 08:12:32,deployment,adservice,7,92,1,,,
2026-08-27 08:12:32,deployment,cartservice,10,44,1,,,
2026-08-27 08:12:32,deployment,checkoutservice,8,12,1,,,
2026-08-27 08:12:32,deployment,currencyservice,7,61,1,,,
2026-08-27 08:12:32,deployment,emailservice,18,40,1,,,
2026-08-27 08:12:32,deployment,frontend,0,13,1,,,
2026-08-27 08:12:32,http_p95_latency,frontend,,,,,,0.0
2026-08-27 08:12:32,deployment,paymentservice,7,30,1,,,
2026-08-27 08:12:32,deployment,productcatalogservice,9,8,1,,,
2026-08-27 08:12:32,deployment,recommendationservice,17,44,1,,,
2026-08-27 08:12:32,deployment,redis-cart,4,17,1,,,
2026-08-27 08:12:32,deployment,shippingservice,10,9,1,,,
2026-08-27 08:12:32,node,ze-master-node,882,3106,,22.1,39.1,
2026-08-27 08:12:32,node,ze-worker-node,442,2347,,11.1,29.6,
2026-08-27 08:12:39,deployment,adservice,7,92,1,,,
2026-08-27 08:12:39,deployment,cartservice,11,44,1,,,
2026-08-27 08:12:39,deployment,checkoutservice,7,12,1,,,
2026-08-27 08:12:39,deployment,currencyservice,7,61,1,,,
2026-08-27 08:12:39,deployment,emailservice,14,40,1,,,
2026-08-27 08:12:39,deployment,frontend,0,13,1,,,
2026-08-27 08:12:39,http_p95_latency,frontend,,,,,,0.0
2026-08-27 08:12:39,deployment,paymentservice,7,30,1,,,
2026-08-27 08:12:39,deployment,productcatalogservice,13,8,1,,,
2026-08-27 08:12:39,deployment,recommendationservice,19,44,1,,,
2026-08-27 08:12:39,deployment,redis-cart,4,17,1,,,
2026-08-27 08:12:39,deployment,shippingservice,10,9,1,,,
2026-08-27 08:12:39,node,ze-master-node,882,3106,,22.1,39.1,
2026-08-27 08:12:39,node,ze-worker-node,442,2347,,11.1,29.6,
2026-08-27 08:12:46,deployment,adservice,7,92,1,,,
2026-08-27 08:12:46,deployment,cartservice,11,44,1,,,
2026-08-27 08:12:46,deployment,checkoutservice,7,12,1,,,
2026-08-27 08:12:46,deployment,currencyservice,7,61,1,,,
2026-08-27 08:12:46,deployment,emailservice,14,40,1,,,
2026-08-27 08:12:46,deployment,frontend,0,13,1,,,
2026-08-27 08:12:46,http_p95_latency,frontend,,,,,,0.0
2026-08-27 08:12:46,deployment,paymentservice,7,30,1,,,
2026-08-27 08:12:46,deployment,productcatalogservice,13,8,1,,,
2026-08-27 08:12:46,deployment,recommendationservice,19,44,1,,,
2026-08-27 08:12:46,deployment,redis-cart,4,17,1,,,
2026-08-27 08:12:46,deployment,shippingservice,10,9,1,,,
2026-08-27 08:12:46,node,ze-master-node,882,3106,,22.1,39.1,
2026-08-27 08:12:46,node,ze-worker-node,442,2347,,11.1,29.6,
2026-08-27 08:12:52,deployment,adservice,5,92,1,,,
2026-08-27 08:12:52,deployment,cartservice,11,44,1,,,
2026-08-27 08:12:52,deployment,checkoutservice,9,12,1,,,
2026-08-27 08:12:52,deployment,currencyservice,12,61,1,,,
2026-08-27 08:12:52,deployment,emailservice,19,40,1,,,
2026-08-27 08:12:52,deployment,frontend,0,13,1,,,
2026-08-27 08:12:52,http_p95_latency,frontend,,,,,,0.0
2026-08-27 08:12:52,deployment,paymentservice,7,30,1,,,
2026-08-27 08:12:52,deployment,productcatalogservice,6,8,1,,,
2026-08-27 08:12:52,deployment,recommendationservice,21,44,1,,,
2026-08-27 08:12:52,deployment,redis-cart,4,17,1,,,
2026-08-27 08:12:52,deployment,shippingservice,15,11,1,,,
2026-08-27 08:12:52,node,ze-master-node,622,3104,,15.6,39.1,
2026-08-27 08:12:52,node,ze-worker-node,356,2345,,8.9,29.5,
2026-08-27 08:12:58,deployment,adservice,5,92,1,,,
2026-08-27 08:12:58,deployment,cartservice,11,44,1,,,
2026-08-27 08:12:58,deployment,checkoutservice,9,12,1,,,
2026-08-27 08:12:58,deployment,currencyservice,12,61,1,,,
2026-08-27 08:12:58,deployment,emailservice,19,40,1,,,
2026-08-27 08:12:58,deployment,frontend,0,13,1,,,
2026-08-27 08:12:58,http_p95_latency,frontend,,,,,,0.0
2026-08-27 08:12:58,deployment,paymentservice,7,30,1,,,
2026-08-27 08:12:58,deployment,productcatalogservice,6,8,1,,,
