Minute,Timestamp,Total Request Count,SelectedLatency_ms,CumulativeSLOViolationRate_percent,Method,DisplayName,Run,File
0,1787840717,228,400.0,4.375000000000007,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
1,1787840777,456,300.0,3.8888888888888973,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
2,1787840837,1037,400.0,4.333333333333334,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
3,1787840897,2146,480.0,4.837837837837844,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
4,1787840957,3821,430.0,4.432432432432432,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
5,1787841017,5990,380.0,3.8387096774193608,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
6,1787841077,8765,360.0,3.0909090909090886,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
7,1787841137,11997,460.0,4.675675675675683,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
8,1787841197,15889,390.0,4.083333333333339,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
9,1787841257,20325,350.0,3.6363636363636376,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
10,1787841317,25281,330.0,3.1785714285714306,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
11,1787841377,30791,320.0,2.839999999999998,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
12,1787841437,37076,320.0,3.200000000000003,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
13,1787841497,42071,310.0,2.8888888888888964,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
14,1787841557,46974,310.0,2.72,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
15,1787841617,52775,310.0,2.72,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
16,1787841677,60484,320.0,2.9230769230769282,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
17,1787841737,70060,340.0,3.285714285714292,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
18,1787841797,79495,350.0,3.392857142857142,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
19,1787841857,88005,360.0,3.384615384615386,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
20,1787841917,95061,350.0,3.125,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
21,1787841977,101045,350.0,3.200000000000003,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
22,1787842037,105657,340.0,3.080000000000005,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
23,1787842097,110898,340.0,3.1538461538461515,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
24,1787842157,117074,340.0,3.3448275862069,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
25,1787842217,125609,350.0,3.548387096774197,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
26,1787842277,135065,360.0,3.500000000000003,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
27,1787842337,143833,360.0,3.600000000000003,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
28,1787842397,151243,360.0,3.551724137931034,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
29,1787842457,157708,360.0,3.600000000000003,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
30,1787842517,162874,360.0,3.500000000000003,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
31,1787842577,167224,350.0,3.392857142857142,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
32,1787842637,172654,360.0,3.687499999999999,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
33,1787842697,180028,360.0,3.687499999999999,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
34,1787842757,189551,360.0,3.687499999999999,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
35,1787842817,198652,370.0,3.741935483870973,queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats_history.csv
