Method,DisplayName,Run,File,SLOViolationRate_percent
queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats.csv,3.741935483870973
queue-CDT120,QUEUE-CDT120,2,queue-CDT120-2_stats.csv,3.8529411764705923
queue-CDT120,QUEUE-CDT120,3,queue-CDT120-3_stats.csv,3.8181818181818206
queue-CDT120,QUEUE-CDT120,4,queue-CDT120-4_stats.csv,3.8857142857142923
queue-CDT120,QUEUE-CDT120,5,queue-CDT120-5_stats.csv,3.8181818181818206
queue-CDT300,QUEUE-CDT300,1,queue-CDT300-1_stats.csv,3.833333333333333
queue-CDT300,QUEUE-CDT300,2,queue-CDT300-2_stats.csv,3.7272727272727346
queue-CDT300,QUEUE-CDT300,3,queue-CDT300-3_stats.csv,3.741935483870973
queue-CDT300,QUEUE-CDT300,4,queue-CDT300-4_stats.csv,3.2692307692307687
queue-CDT300,QUEUE-CDT300,5,queue-CDT300-5_stats.csv,3.86486486486487
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1_stats.csv,5.681818181818188
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2_stats.csv,6.923076923076921
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3_stats.csv,7.14285714285714
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4_stats.csv,6.666666666666665
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5_stats.csv,6.25
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1_stats.csv,4.441860465116287
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2_stats.csv,6.600000000000006
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3_stats.csv,5.500000000000005
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4_stats.csv,6.25
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5_stats.csv,6.400000000000006
