Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-27 19:19:53,deployment,adservice,7,93,1,,,
2026-08-27 19:19:53,deployment,cartservice,13,44,1,,,
2026-08-27 19:19:53,deployment,checkoutservice,11,12,1,,,
2026-08-27 19:19:53,deployment,currencyservice,8,46,1,,,
2026-08-27 19:19:53,deployment,emailservice,19,40,1,,,
2026-08-27 19:19:53,deployment,frontend,0,13,1,,,
2026-08-27 19:19:53,http_p95_latency,frontend,,,,,,0.0
2026-08-27 19:19:53,deployment,paymentservice,7,30,1,,,
2026-08-27 19:19:53,deployment,productcatalogservice,10,9,1,,,
2026-08-27 19:19:53,deployment,recommendationservice,19,44,1,,,
2026-08-27 19:19:53,deployment,redis-cart,4,21,1,,,
2026-08-27 19:19:53,deployment,shippingservice,12,9,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-cartservice,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-emailservice,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-frontend,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,0,0,1,,,
2026-08-27 19:19:53,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,0,0,1,,,
2026-08-27 19:19:53,node,ze-master-node,629,3124,,15.7,39.3,
2026-08-27 19:19:53,node,ze-worker-node,392,2229,,9.8,28.1,
2026-08-27 19:20:03,deployment,adservice,7,93,1,,,
2026-08-27 19:20:03,deployment,cartservice,13,44,1,,,
2026-08-27 19:20:03,deployment,checkoutservice,11,12,1,,,
2026-08-27 19:20:03,deployment,currencyservice,8,46,1,,,
2026-08-27 19:20:03,deployment,emailservice,19,40,1,,,
2026-08-27 19:20:03,deployment,frontend,0,13,1,,,
2026-08-27 19:20:03,http_p95_latency,frontend,,,,,,0.0
2026-08-27 19:20:03,deployment,paymentservice,7,30,1,,,
2026-08-27 19:20:03,deployment,productcatalogservice,6,9,1,,,
2026-08-27 19:20:03,deployment,recommendationservice,19,44,1,,,
2026-08-27 19:20:03,deployment,redis-cart,4,21,1,,,
2026-08-27 19:20:03,deployment,shippingservice,12,9,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-adservice,60,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-cartservice,71,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,66,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,68,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-emailservice,63,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-frontend,76,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,64,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,74,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,83,60,1,,,
2026-08-27 19:20:03,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,62,60,1,,,
2026-08-27 19:20:03,node,ze-master-node,2297,3766,,57.4,47.4,
2026-08-27 19:20:03,node,ze-worker-node,589,2246,,14.7,28.3,
2026-08-27 19:20:11,deployment,adservice,9,93,1,,,
2026-08-27 19:20:11,deployment,cartservice,5,44,1,,,
2026-08-27 19:20:11,deployment,checkoutservice,8,12,1,,,
2026-08-27 19:20:11,deployment,currencyservice,9,50,1,,,
2026-08-27 19:20:11,deployment,emailservice,13,40,1,,,
2026-08-27 19:20:11,deployment,frontend,0,13,1,,,
2026-08-27 19:20:11,http_p95_latency,frontend,,,,,,0.0
2026-08-27 19:20:11,deployment,paymentservice,7,30,1,,,
2026-08-27 19:20:11,deployment,productcatalogservice,6,9,1,,,
2026-08-27 19:20:11,deployment,recommendationservice,19,44,1,,,
2026-08-27 19:20:11,deployment,redis-cart,4,21,1,,,
2026-08-27 19:20:11,deployment,shippingservice,12,9,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-adservice,60,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-cartservice,71,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,66,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,68,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-emailservice,63,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-frontend,76,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,64,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,74,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,83,60,1,,,
2026-08-27 19:20:11,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,62,60,1,,,
2026-08-27 19:20:11,node,ze-master-node,2297,3766,,57.4,47.4,
2026-08-27 19:20:11,node,ze-worker-node,589,2246,,14.7,28.3,
2026-08-27 19:20:19,deployment,adservice,7,93,1,,,
2026-08-27 19:20:19,deployment,cartservice,12,44,1,,,
2026-08-27 19:20:19,deployment,checkoutservice,7,12,1,,,
2026-08-27 19:20:19,deployment,currencyservice,9,47,1,,,
2026-08-27 19:20:19,deployment,emailservice,18,40,1,,,
2026-08-27 19:20:19,deployment,frontend,0,13,1,,,
2026-08-27 19:20:19,http_p95_latency,frontend,,,,,,0.0
2026-08-27 19:20:19,deployment,paymentservice,6,30,1,,,
2026-08-27 19:20:19,deployment,productcatalogservice,7,9,1,,,
2026-08-27 19:20:19,deployment,recommendationservice,17,44,1,,,
2026-08-27 19:20:19,deployment,redis-cart,4,21,1,,,
2026-08-27 19:20:19,deployment,shippingservice,10,9,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-cartservice,5,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,62,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,68,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-emailservice,63,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-frontend,5,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,64,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,5,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,83,60,1,,,
2026-08-27 19:20:19,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,56,60,1,,,
2026-08-27 19:20:19,node,ze-master-node,837,3779,,20.9,47.6,
2026-08-27 19:20:19,node,ze-worker-node,362,2241,,9.0,28.2,
2026-08-27 19:20:26,deployment,adservice,7,93,1,,,
2026-08-27 19:20:26,deployment,cartservice,12,44,1,,,
2026-08-27 19:20:26,deployment,checkoutservice,7,12,1,,,
2026-08-27 19:20:26,deployment,currencyservice,9,47,1,,,
2026-08-27 19:20:26,deployment,emailservice,18,40,1,,,
2026-08-27 19:20:26,deployment,frontend,0,13,1,,,
2026-08-27 19:20:26,http_p95_latency,frontend,,,,,,0.0
2026-08-27 19:20:26,deployment,paymentservice,6,30,1,,,
2026-08-27 19:20:26,deployment,productcatalogservice,7,9,1,,,
2026-08-27 19:20:26,deployment,recommendationservice,17,44,1,,,
2026-08-27 19:20:26,deployment,redis-cart,4,21,1,,,
2026-08-27 19:20:26,deployment,shippingservice,10,9,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-cartservice,5,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,62,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,68,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-emailservice,63,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-frontend,5,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,64,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,5,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,83,60,1,,,
2026-08-27 19:20:26,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,56,60,1,,,
2026-08-27 19:20:26,node,ze-master-node,837,3779,,20.9,47.6,
2026-08-27 19:20:26,node,ze-worker-node,362,2241,,9.0,28.2,
2026-08-27 19:20:34,deployment,adservice,6,93,1,,,
2026-08-27 19:20:34,deployment,cartservice,7,44,1,,,
2026-08-27 19:20:34,deployment,checkoutservice,8,12,1,,,
2026-08-27 19:20:34,deployment,currencyservice,4,47,1,,,
2026-08-27 19:20:34,deployment,emailservice,14,40,1,,,
2026-08-27 19:20:34,deployment,frontend,0,13,1,,,
2026-08-27 19:20:34,http_p95_latency,frontend,,,,,,0.0
2026-08-27 19:20:34,deployment,paymentservice,10,30,1,,,
2026-08-27 19:20:34,deployment,productcatalogservice,9,9,1,,,
2026-08-27 19:20:34,deployment,recommendationservice,18,44,1,,,
2026-08-27 19:20:34,deployment,redis-cart,4,21,1,,,
2026-08-27 19:20:34,deployment,shippingservice,10,9,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-adservice,6,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-cartservice,5,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,5,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,5,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-emailservice,5,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-frontend,5,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,5,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,5,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,3,60,1,,,
2026-08-27 19:20:34,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,4,60,1,,,
2026-08-27 19:20:34,node,ze-master-node,773,3777,,19.3,47.6,
2026-08-27 19:20:34,node,ze-worker-node,350,2246,,8.8,28.3,
2026-08-27 19:20:42,deployment,adservice,6,93,1,,,
2026-08-27 19:20:42,deployment,cartservice,7,44,1,,,
2026-08-27 19:20:42,deployment,checkoutservice,8,12,1,,,
2026-08-27 19:20:42,deployment,currencyservice,4,47,1,,,
2026-08-27 19:20:42,deployment,emailservice,14,40,1,,,
2026-08-27 19:20:42,deployment,frontend,0,13,1,,,
2026-08-27 19:20:42,http_p95_latency,frontend,,,,,,0.0
2026-08-27 19:20:42,deployment,paymentservice,10,30,1,,,
2026-08-27 19:20:42,deployment,productcatalogservice,9,9,1,,,
2026-08-27 19:20:42,deployment,recommendationservice,18,44,1,,,
2026-08-27 19:20:42,deployment,redis-cart,4,21,1,,,
2026-08-27 19:20:42,deployment,shippingservice,10,9,1,,,
2026-08-27 19:20:42,autoscaler,customdas-cpu-queue-autoscaler-adservice,6,60,1,,,
2026-08-27 19:20:42,autoscaler,customdas-cpu-queue-autoscaler-cartservice,5,60,1,,,
2026-08-27 19:20:42,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,5,60,1,,,
2026-08-27 19:20:42,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,5,60,1,,,
2026-08-27 19:20:42,autoscaler,customdas-cpu-queue-autoscaler-emailservice,5,60,1,,,
