Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20663,4,150,231.29352447899987,69.37712500803173,3358.8113749865443,10278.900934036685,4.78224946889491,0.0009257609193040526,150,180,220,260,450,650,950,1200,2400,2600,3400
GET,/cart,56850,21,190,219.16529304391756,57.514874963089824,3784.600832965225,14126.080615655233,13.157377065608848,0.004860244826346276,190,210,230,240,310,450,760,990,2000,3200,3800
POST,/cart,56833,33,250,295.8019681909824,59.976750053465366,3881.1109999660403,18154.12508577763,13.153442581701805,0.007637527584258434,250,280,300,320,400,540,910,1200,2300,3400,3900
POST,/cart/checkout,18802,14,170,217.89746714823306,58.26079100370407,3879.0646251291037,6559.28965003723,4.351539201188699,0.003240163217564184,170,200,220,240,300,420,790,1100,2300,3500,3900
GET,/product/0PUK6V6EV0,27319,7,130,168.95642552849074,55.83225004374981,3183.524874970317,7736.682418829386,6.322715638616853,0.001620081608782092,130,140,160,170,230,350,700,950,2100,3100,3200
GET,/product/1YMWWN1N4O,27543,8,130,168.11480712143808,60.269291047006845,3772.745749913156,7758.369422357768,6.374558250097881,0.0018515218386081051,130,140,160,170,230,340,700,930,1900,3300,3800
GET,/product/2ZYFJ3GM2N,27587,7,130,166.56177650615902,59.54512511380017,3316.1400828976184,7754.942581650777,6.3847416202102245,0.001620081608782092,130,140,160,170,230,330,650,920,1900,2900,3300
GET,/product/66VCHSJNUP,27385,10,130,166.52028320481506,60.39987504482269,3609.2247501946986,7720.928318422494,6.33799069378537,0.0023144022982601316,130,140,160,170,230,330,660,910,1900,3300,3600
GET,/product/6E92ZMYYFZ,27451,2,130,167.84921249611963,64.24433388747275,3235.556000145152,7712.265673381662,6.353265748953887,0.0004628804596520263,130,140,160,170,230,340,690,930,2100,2900,3200
GET,/product/9SIQT8TOJO,27250,5,130,168.6246411421362,64.65554097667336,3386.5254998672754,7763.022495412844,6.306746262758859,0.0011572011491300658,130,140,160,170,230,340,710,950,2000,2900,3400
GET,/product/L9ECAV7KIM,27268,6,130,167.72458558883258,62.98237480223179,3267.6472500897944,7729.698547748277,6.3109121868957265,0.001388641378956079,130,140,160,170,230,340,690,940,2000,3100,3300
GET,/product/LS4PSXUNUM,27376,8,130,169.5058963150113,56.90366588532925,3408.8057500775903,7728.3699590882525,6.335907731716936,0.0018515218386081051,130,140,160,170,230,360,710,950,2000,3200,3400
GET,/product/OLJCESPC7Z,27158,7,130,167.60662314896976,59.4373750500381,3565.912958001718,7761.220008837175,6.285453761614865,0.001620081608782092,130,140,160,170,230,340,690,920,1800,3100,3600
POST,/setCurrency,19257,9,210,262.4238658950777,70.77166601084173,3461.4554590079933,10282.109830191619,4.456844505759535,0.0020829620684341184,210,230,260,280,380,570,880,1100,2300,3400,3500
,Aggregated,418742,141,150,201.96231933913222,55.83225004374981,3881.1109999660403,10209.96468708656,96.9137447178044,0.03263307240546785,150,190,220,240,310,440,770,1000,2100,3200,3900
