Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-30 02:54:13,deployment,adservice,6,94,1,,,
2026-08-30 02:54:13,deployment,cartservice,11,44,1,,,
2026-08-30 02:54:13,deployment,checkoutservice,7,12,1,,,
2026-08-30 02:54:13,deployment,currencyservice,9,64,1,,,
2026-08-30 02:54:13,deployment,emailservice,18,40,1,,,
2026-08-30 02:54:13,deployment,frontend,0,15,1,,,
2026-08-30 02:54:13,http_p95_latency,frontend,,,,,,0.0
2026-08-30 02:54:13,deployment,paymentservice,9,31,1,,,
2026-08-30 02:54:13,deployment,productcatalogservice,5,9,1,,,
2026-08-30 02:54:13,deployment,recommendationservice,23,46,1,,,
2026-08-30 02:54:13,deployment,redis-cart,4,32,1,,,
2026-08-30 02:54:13,deployment,shippingservice,13,9,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-cartservice,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-emailservice,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-frontend,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,0,0,1,,,
2026-08-30 02:54:13,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,0,0,1,,,
2026-08-30 02:54:13,node,ze-master-node,471,3392,,11.8,42.7,
2026-08-30 02:54:13,node,ze-worker-node,554,1653,,13.9,20.8,
2026-08-30 02:54:20,deployment,adservice,9,94,1,,,
2026-08-30 02:54:20,deployment,cartservice,11,45,1,,,
2026-08-30 02:54:20,deployment,checkoutservice,8,12,1,,,
2026-08-30 02:54:20,deployment,currencyservice,9,64,1,,,
2026-08-30 02:54:20,deployment,emailservice,12,40,1,,,
2026-08-30 02:54:20,deployment,frontend,0,15,1,,,
2026-08-30 02:54:20,http_p95_latency,frontend,,,,,,0.0
2026-08-30 02:54:20,deployment,paymentservice,9,31,1,,,
2026-08-30 02:54:20,deployment,productcatalogservice,9,9,1,,,
2026-08-30 02:54:20,deployment,recommendationservice,17,45,1,,,
2026-08-30 02:54:20,deployment,redis-cart,4,32,1,,,
2026-08-30 02:54:20,deployment,shippingservice,12,9,1,,,
