Autoscaler,Minute,MeanReplicaDelta,StdReplicaDelta,MinReplicaDelta,MaxReplicaDelta,Runs
queue-CDT120,1,0.0,0.0,0.0,0.0,5
queue-CDT120,2,0.0,0.0,0.0,0.0,5
queue-CDT120,3,0.4464285714285715,0.12499999999999963,0.2857142857142865,0.5714285714285712,5
queue-CDT120,4,1.5214285714285716,0.30262457377592566,1.1428571428571441,1.8571428571428559,5
queue-CDT120,5,1.346428571428571,0.2730449989078205,1.0178571428571423,1.7142857142857153,5
queue-CDT120,6,2.1357142857142857,1.04807890340141,1.0714285714285712,3.8571428571428577,5
queue-CDT120,7,1.3321428571428569,1.079109373889564,-0.5,2.2321428571428577,5
queue-CDT120,8,1.4714285714285715,1.5694285161634276,0.25,4.125,5
queue-CDT120,9,1.0785714285714285,0.6781718748493891,0.375,1.875,5
queue-CDT120,10,1.3107142857142862,0.3658753830450582,1.0,1.9285714285714306,5
queue-CDT120,11,0.25714285714285695,0.25050968452500255,0.0,0.5,5
queue-CDT120,12,0.05714285714285694,0.36210833873247356,-0.5,0.5,5
queue-CDT120,13,1.5964285714285715,0.41411634468923775,1.125,2.1428571428571423,5
queue-CDT120,14,0.4071428571428569,0.6057494514724584,-0.2857142857142847,1.2321428571428577,5
queue-CDT120,15,-2.475,0.995813942543115,-3.428571428571427,-1.4285714285714306,5
queue-CDT120,16,-0.08928571428571389,0.5190872090624494,-0.9999999999999964,0.2857142857142847,5
queue-CDT120,17,2.654761904761904,0.4956407188904295,2.0238095238095255,3.1607142857142847,5
queue-CDT120,18,4.011666666666668,1.1419454448847242,2.7142857142857153,5.571428571428573,5
queue-CDT120,19,1.2942857142857143,0.554536025954701,0.8571428571428577,2.1428571428571423,5
queue-CDT120,20,-0.22023809523809562,0.485438472109579,-0.9821428571428577,0.3333333333333357,5
queue-CDT120,21,-1.3773809523809526,0.5215318445240005,-2.0416666666666643,-0.8333333333333357,5
queue-CDT120,22,-1.698809523809524,0.26531865921888254,-2.125,-1.428571428571427,5
queue-CDT120,23,-1.817857142857143,0.6155406616320711,-2.8214285714285694,-1.2857142857142847,5
queue-CDT120,24,-2.3785714285714286,0.5764535998972229,-3.25,-1.7380952380952372,5
queue-CDT120,25,1.4035714285714291,0.7271217681789188,0.32142857142857295,2.3035714285714306,5
queue-CDT120,26,3.3035714285714284,1.1123151073141033,2.1428571428571423,4.839285714285715,5
queue-CDT120,27,2.8857142857142852,0.7450517034517317,2.1428571428571423,4.0,5
queue-CDT120,28,-0.14285714285714235,0.17496355305594066,-0.42857142857142705,0.0,5
queue-CDT120,29,-0.7714285714285716,0.5941895526595842,-1.571428571428573,0.0,5
queue-CDT120,30,-2.410714285714286,0.7542397172122463,-3.4285714285714306,-1.75,5
queue-CDT120,31,-1.3357142857142854,0.7556547032952586,-2.125,-0.2857142857142847,5
queue-CDT120,32,-3.0511904761904765,1.240708094582976,-5.107142857142858,-2.0,5
queue-CDT120,33,-0.8416666666666665,0.8678195824388838,-1.6904761904761898,0.625,5
queue-CDT120,34,3.2583333333333337,1.5701857459052388,1.8571428571428577,5.666666666666668,5
queue-CDT120,35,3.5857142857142863,1.0086923799951695,1.9761904761904745,4.666666666666668,5
queue-CDT120,36,1.7714285714285716,0.5893999408291732,1.1428571428571423,2.428571428571427,5
queue-CDT120,37,-0.1999999999999993,0.6242001684877497,-0.7142857142857153,0.8333333333333321,5
queue-CDT120,38,-1.2380952380952395,0.23313280985197787,-1.5833333333333357,-0.9642857142857153,5
queue-CDT120,39,-1.8923809523809516,0.445229819123489,-2.595238095238095,-1.4499999999999993,5
queue-CDT120,40,-1.6135714285714293,0.5314256912364345,-2.1071428571428577,-0.875,5
queue-CDT120,41,-2.8321428571428577,0.40041432623354023,-3.1428571428571423,-2.142857142857146,5
queue-CDT120,42,1.0976190476190482,0.743280556986766,0.25,2.0,5
queue-CDT120,43,3.097619047619048,1.097384026073039,1.428571428571427,4.428571428571427,5
queue-CDT120,44,3.295238095238094,0.8344550273943839,2.619047619047617,4.4999999999999964,5
queue-CDT120,45,0.2761904761904773,0.3541941766026499,-0.1666666666666643,0.6666666666666679,5
queue-CDT120,46,-0.8333333333333336,0.671327246660557,-1.8571428571428577,-0.14285714285714235,5
queue-CDT120,47,-2.0154761904761904,0.574205800725926,-2.666666666666668,-1.1904761904761898,5
queue-CDT120,48,-1.7821428571428584,0.31275783014572184,-2.142857142857146,-1.446428571428573,5
queue-CDT120,49,-2.9726190476190473,1.322605117581265,-5.178571428571427,-1.9523809523809526,5
queue-CDT120,50,-0.30119047619047523,1.2126038773091996,-1.2857142857142847,1.75,5
queue-CDT120,51,1.2952380952380949,1.265896651020832,0.14285714285714235,3.428571428571427,5
queue-CDT120,52,2.4285714285714293,1.2130011879986624,0.6666666666666679,4.0,5
queue-CDT120,53,2.209523809523809,0.49269033293980385,1.5,2.833333333333332,5
queue-CDT120,54,-0.5357142857142847,0.4995746490085057,-1.4047619047619015,-0.1904761904761898,5
queue-CDT120,55,-2.2357142857142867,0.6090306784940632,-2.916666666666668,-1.4285714285714306,5
queue-CDT120,56,-2.738095238095238,0.8975274678557518,-4.142857142857146,-2.0,5
queue-CDT120,57,-2.1,0.5854311162184114,-2.7142857142857153,-1.2857142857142847,5
queue-CDT120,58,0.46190476190476204,0.5430320311437198,0.0,1.3809523809523832,5
queue-CDT120,59,-0.2964285714285708,0.7709241075435612,-1.0,1.0,5
queue-CDT120,60,1.6559523809523804,0.4886103553600557,1.1190476190476168,2.1428571428571423,5
queue-CDT120,61,2.792857142857143,1.188319474974291,1.571428571428573,4.25,5
queue-CDT120,62,0.46190476190476204,0.2712614355928785,0.0,0.7142857142857153,5
queue-CDT120,63,-0.8047619047619051,0.21847751898960863,-1.0,-0.5,5
queue-CDT120,64,-1.3678571428571438,0.7270730390281522,-2.4285714285714306,-0.4285714285714306,5
queue-CDT120,65,-2.9857142857142853,0.7770832763400245,-4.285714285714285,-2.1964285714285694,5
queue-CDT120,66,0.1702380952380956,1.1480891523806243,-1.375,1.3392857142857153,5
queue-CDT120,67,-0.7226190476190467,0.512762293921878,-1.4047619047619015,-0.125,5
queue-CDT120,68,2.084523809523808,0.26978144761724726,1.8333333333333321,2.4761904761904745,5
queue-CDT120,69,2.7571428571428576,0.7628621217363226,1.5238095238095255,3.5357142857142847,5
queue-CDT120,70,2.3166666666666664,0.5833090373949085,1.4285714285714306,3.0357142857142847,5
queue-CDT120,71,1.2404761904761912,0.7351323017891329,0.5714285714285694,2.1785714285714306,5
queue-CDT300,1,0.0,0.0,0.0,0.0,5
queue-CDT300,2,0.0,0.0,0.0,0.0,5
queue-CDT300,3,0.48571428571428577,0.1783033702338083,0.2857142857142865,0.7142857142857135,5
queue-CDT300,4,1.580952380952381,0.22250283444906593,1.375,1.904761904761905,5
queue-CDT300,5,1.147619047619047,0.25096892734824994,0.8095238095238084,1.5178571428571423,5
queue-CDT300,6,2.1142857142857143,0.6311685388941656,1.2857142857142865,3.0,5
queue-CDT300,7,1.3976190476190478,0.5753585099448751,0.9047619047619033,2.3571428571428577,5
queue-CDT300,8,1.5023809523809526,0.24081776778076794,1.25,1.8095238095238102,5
queue-CDT300,9,0.6035714285714284,0.5979343694788594,-0.14285714285714235,1.2857142857142847,5
queue-CDT300,10,1.5964285714285715,0.42513503257008567,0.875,1.9285714285714306,5
