Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-26 07:29:22,deployment,adservice,6,92,1,,,
2026-08-26 07:29:22,deployment,cartservice,10,43,1,,,
2026-08-26 07:29:22,deployment,checkoutservice,7,12,1,,,
2026-08-26 07:29:22,deployment,currencyservice,6,38,1,,,
2026-08-26 07:29:22,deployment,emailservice,20,40,1,,,
2026-08-26 07:29:22,deployment,frontend,0,13,1,,,
2026-08-26 07:29:22,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:29:22,deployment,paymentservice,9,30,1,,,
2026-08-26 07:29:22,deployment,productcatalogservice,9,9,1,,,
2026-08-26 07:29:22,deployment,recommendationservice,21,46,1,,,
2026-08-26 07:29:22,deployment,redis-cart,4,11,1,,,
2026-08-26 07:29:22,deployment,shippingservice,11,9,1,,,
2026-08-26 07:29:22,node,ze-master-node,485,3057,,12.1,38.5,
2026-08-26 07:29:22,node,ze-worker-node,306,2333,,7.6,29.4,
2026-08-26 07:29:28,deployment,adservice,6,92,1,,,
2026-08-26 07:29:28,deployment,cartservice,10,43,1,,,
2026-08-26 07:29:28,deployment,checkoutservice,7,12,1,,,
2026-08-26 07:29:28,deployment,currencyservice,6,38,1,,,
2026-08-26 07:29:28,deployment,emailservice,20,40,1,,,
2026-08-26 07:29:28,deployment,frontend,0,13,1,,,
2026-08-26 07:29:28,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:29:28,deployment,paymentservice,9,30,1,,,
2026-08-26 07:29:28,deployment,productcatalogservice,9,9,1,,,
2026-08-26 07:29:28,deployment,recommendationservice,21,46,1,,,
2026-08-26 07:29:28,deployment,redis-cart,4,11,1,,,
2026-08-26 07:29:28,deployment,shippingservice,11,9,1,,,
2026-08-26 07:29:28,node,ze-master-node,485,3057,,12.1,38.5,
2026-08-26 07:29:28,node,ze-worker-node,306,2333,,7.6,29.4,
2026-08-26 07:29:36,deployment,adservice,10,92,1,,,
2026-08-26 07:29:36,deployment,cartservice,10,43,1,,,
2026-08-26 07:29:36,deployment,checkoutservice,6,12,1,,,
2026-08-26 07:29:36,deployment,currencyservice,9,37,1,,,
2026-08-26 07:29:36,deployment,emailservice,14,40,1,,,
2026-08-26 07:29:36,deployment,frontend,0,13,1,,,
2026-08-26 07:29:36,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:29:36,deployment,paymentservice,8,30,1,,,
2026-08-26 07:29:36,deployment,productcatalogservice,9,9,1,,,
2026-08-26 07:29:36,deployment,recommendationservice,18,48,1,,,
2026-08-26 07:29:36,deployment,redis-cart,4,11,1,,,
2026-08-26 07:29:36,deployment,shippingservice,13,9,1,,,
2026-08-26 07:29:36,node,ze-master-node,621,3053,,15.5,38.4,
2026-08-26 07:29:36,node,ze-worker-node,339,2343,,8.5,29.5,
2026-08-26 07:29:42,deployment,adservice,10,92,1,,,
2026-08-26 07:29:42,deployment,cartservice,10,43,1,,,
2026-08-26 07:29:42,deployment,checkoutservice,6,12,1,,,
2026-08-26 07:29:42,deployment,currencyservice,9,37,1,,,
2026-08-26 07:29:42,deployment,emailservice,14,40,1,,,
2026-08-26 07:29:42,deployment,frontend,0,13,1,,,
2026-08-26 07:29:42,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:29:42,deployment,paymentservice,8,30,1,,,
2026-08-26 07:29:42,deployment,productcatalogservice,9,9,1,,,
2026-08-26 07:29:42,deployment,recommendationservice,18,48,1,,,
2026-08-26 07:29:42,deployment,redis-cart,4,11,1,,,
2026-08-26 07:29:42,deployment,shippingservice,13,9,1,,,
2026-08-26 07:29:42,node,ze-master-node,621,3053,,15.5,38.4,
2026-08-26 07:29:42,node,ze-worker-node,339,2343,,8.5,29.5,
2026-08-26 07:29:48,deployment,adservice,10,92,1,,,
2026-08-26 07:29:48,deployment,cartservice,10,43,1,,,
2026-08-26 07:29:48,deployment,checkoutservice,6,12,1,,,
2026-08-26 07:29:48,deployment,currencyservice,9,37,1,,,
2026-08-26 07:29:48,deployment,emailservice,14,40,1,,,
2026-08-26 07:29:48,deployment,frontend,0,13,1,,,
2026-08-26 07:29:48,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:29:48,deployment,paymentservice,8,30,1,,,
2026-08-26 07:29:48,deployment,productcatalogservice,6,9,1,,,
2026-08-26 07:29:48,deployment,recommendationservice,17,46,1,,,
2026-08-26 07:29:48,deployment,redis-cart,4,11,1,,,
2026-08-26 07:29:48,deployment,shippingservice,11,9,1,,,
2026-08-26 07:29:48,node,ze-master-node,604,3055,,15.1,38.5,
2026-08-26 07:29:48,node,ze-worker-node,324,2340,,8.1,29.5,
2026-08-26 07:29:55,deployment,adservice,3,92,1,,,
2026-08-26 07:29:55,deployment,cartservice,10,43,1,,,
2026-08-26 07:29:55,deployment,checkoutservice,8,12,1,,,
2026-08-26 07:29:55,deployment,currencyservice,7,37,1,,,
2026-08-26 07:29:55,deployment,emailservice,20,40,1,,,
2026-08-26 07:29:55,deployment,frontend,0,13,1,,,
2026-08-26 07:29:55,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:29:55,deployment,paymentservice,8,30,1,,,
2026-08-26 07:29:55,deployment,productcatalogservice,6,9,1,,,
2026-08-26 07:29:55,deployment,recommendationservice,17,46,1,,,
2026-08-26 07:29:55,deployment,redis-cart,4,11,1,,,
2026-08-26 07:29:55,deployment,shippingservice,11,9,1,,,
2026-08-26 07:29:55,node,ze-master-node,604,3055,,15.1,38.5,
2026-08-26 07:29:55,node,ze-worker-node,324,2340,,8.1,29.5,
2026-08-26 07:30:01,deployment,adservice,3,92,1,,,
2026-08-26 07:30:01,deployment,cartservice,10,43,1,,,
2026-08-26 07:30:01,deployment,checkoutservice,8,12,1,,,
2026-08-26 07:30:01,deployment,currencyservice,7,37,1,,,
2026-08-26 07:30:01,deployment,emailservice,20,40,1,,,
2026-08-26 07:30:01,deployment,frontend,0,13,1,,,
2026-08-26 07:30:01,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:30:01,deployment,paymentservice,8,30,1,,,
2026-08-26 07:30:01,deployment,productcatalogservice,6,9,1,,,
2026-08-26 07:30:01,deployment,recommendationservice,17,46,1,,,
2026-08-26 07:30:01,deployment,redis-cart,4,11,1,,,
2026-08-26 07:30:01,deployment,shippingservice,11,9,1,,,
2026-08-26 07:30:01,node,ze-master-node,604,3055,,15.1,38.5,
2026-08-26 07:30:01,node,ze-worker-node,324,2340,,8.1,29.5,
2026-08-26 07:30:08,deployment,adservice,9,92,1,,,
2026-08-26 07:30:08,deployment,cartservice,11,43,1,,,
2026-08-26 07:30:08,deployment,checkoutservice,10,12,1,,,
2026-08-26 07:30:08,deployment,currencyservice,10,40,1,,,
2026-08-26 07:30:08,deployment,emailservice,18,40,1,,,
2026-08-26 07:30:08,deployment,frontend,0,13,1,,,
2026-08-26 07:30:08,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:30:08,deployment,paymentservice,9,31,1,,,
2026-08-26 07:30:08,deployment,productcatalogservice,6,9,1,,,
2026-08-26 07:30:08,deployment,recommendationservice,17,46,1,,,
2026-08-26 07:30:08,deployment,redis-cart,10,11,1,,,
2026-08-26 07:30:08,deployment,shippingservice,12,9,1,,,
2026-08-26 07:30:08,node,ze-master-node,571,3054,,14.3,38.5,
2026-08-26 07:30:08,node,ze-worker-node,323,2344,,8.1,29.5,
2026-08-26 07:30:15,deployment,adservice,9,92,1,,,
2026-08-26 07:30:15,deployment,cartservice,11,43,1,,,
2026-08-26 07:30:15,deployment,checkoutservice,10,12,1,,,
2026-08-26 07:30:15,deployment,currencyservice,10,40,1,,,
2026-08-26 07:30:15,deployment,emailservice,18,40,1,,,
2026-08-26 07:30:15,deployment,frontend,0,13,1,,,
2026-08-26 07:30:15,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:30:15,deployment,paymentservice,9,31,1,,,
2026-08-26 07:30:15,deployment,productcatalogservice,6,9,1,,,
2026-08-26 07:30:15,deployment,recommendationservice,17,46,1,,,
2026-08-26 07:30:15,deployment,redis-cart,10,11,1,,,
2026-08-26 07:30:15,deployment,shippingservice,12,9,1,,,
2026-08-26 07:30:15,node,ze-master-node,571,3054,,14.3,38.5,
2026-08-26 07:30:15,node,ze-worker-node,323,2344,,8.1,29.5,
2026-08-26 07:30:22,deployment,adservice,7,92,1,,,
2026-08-26 07:30:22,deployment,cartservice,11,43,1,,,
2026-08-26 07:30:22,deployment,checkoutservice,8,12,1,,,
2026-08-26 07:30:22,deployment,currencyservice,5,37,1,,,
2026-08-26 07:30:22,deployment,emailservice,15,40,1,,,
2026-08-26 07:30:22,deployment,frontend,0,13,1,,,
2026-08-26 07:30:22,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:30:22,deployment,paymentservice,6,31,1,,,
2026-08-26 07:30:22,deployment,productcatalogservice,12,9,1,,,
2026-08-26 07:30:22,deployment,recommendationservice,18,46,1,,,
2026-08-26 07:30:22,deployment,redis-cart,4,11,1,,,
2026-08-26 07:30:22,deployment,shippingservice,13,9,1,,,
2026-08-26 07:30:22,node,ze-master-node,675,3009,,16.9,37.9,
2026-08-26 07:30:22,node,ze-worker-node,335,2340,,8.4,29.5,
2026-08-26 07:30:29,deployment,adservice,7,92,1,,,
2026-08-26 07:30:29,deployment,cartservice,11,43,1,,,
2026-08-26 07:30:29,deployment,checkoutservice,8,12,1,,,
2026-08-26 07:30:29,deployment,currencyservice,5,37,1,,,
2026-08-26 07:30:29,deployment,emailservice,15,40,1,,,
2026-08-26 07:30:29,deployment,frontend,0,13,1,,,
2026-08-26 07:30:29,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:30:29,deployment,paymentservice,6,31,1,,,
2026-08-26 07:30:29,deployment,productcatalogservice,12,9,1,,,
2026-08-26 07:30:29,deployment,recommendationservice,18,46,1,,,
2026-08-26 07:30:29,deployment,redis-cart,4,11,1,,,
2026-08-26 07:30:29,deployment,shippingservice,13,9,1,,,
2026-08-26 07:30:29,node,ze-master-node,675,3009,,16.9,37.9,
2026-08-26 07:30:29,node,ze-worker-node,335,2340,,8.4,29.5,
2026-08-26 07:30:36,deployment,adservice,5,92,1,,,
2026-08-26 07:30:36,deployment,cartservice,12,43,1,,,
2026-08-26 07:30:36,deployment,checkoutservice,7,12,1,,,
2026-08-26 07:30:36,deployment,currencyservice,31,37,1,,,
2026-08-26 07:30:36,deployment,emailservice,22,40,1,,,
2026-08-26 07:30:36,deployment,frontend,14,14,1,,,
2026-08-26 07:30:36,http_p95_latency,frontend,,,,,,0.0
2026-08-26 07:30:36,deployment,paymentservice,8,30,1,,,
2026-08-26 07:30:36,deployment,productcatalogservice,16,9,1,,,
2026-08-26 07:30:36,deployment,recommendationservice,27,46,1,,,
2026-08-26 07:30:36,deployment,redis-cart,4,11,1,,,
2026-08-26 07:30:36,deployment,shippingservice,12,9,1,,,
2026-08-26 07:30:36,node,ze-master-node,661,3008,,16.5,37.9,
2026-08-26 07:30:36,node,ze-worker-node,470,2358,,11.8,29.7,
2026-08-26 07:30:43,deployment,adservice,5,92,1,,,
2026-08-26 07:30:43,deployment,cartservice,12,43,1,,,
2026-08-26 07:30:43,deployment,checkoutservice,7,12,1,,,
2026-08-26 07:30:43,deployment,currencyservice,31,37,1,,,
2026-08-26 07:30:43,deployment,emailservice,22,40,1,,,
2026-08-26 07:30:43,deployment,frontend,14,14,1,,,
2026-08-26 07:30:43,http_p95_latency,frontend,,,,,,424.1
2026-08-26 07:30:43,deployment,paymentservice,8,30,1,,,
2026-08-26 07:30:43,deployment,productcatalogservice,16,9,1,,,
2026-08-26 07:30:43,deployment,recommendationservice,27,46,1,,,
2026-08-26 07:30:43,deployment,redis-cart,4,11,1,,,
2026-08-26 07:30:43,deployment,shippingservice,12,9,1,,,
2026-08-26 07:30:43,node,ze-master-node,661,3008,,16.5,37.9,
2026-08-26 07:30:43,node,ze-worker-node,470,2358,,11.8,29.7,
2026-08-26 07:30:49,deployment,adservice,10,92,1,,,
2026-08-26 07:30:49,deployment,cartservice,24,43,1,,,
2026-08-26 07:30:49,deployment,checkoutservice,9,12,1,,,
2026-08-26 07:30:49,deployment,currencyservice,26,38,1,,,
2026-08-26 07:30:49,deployment,emailservice,21,40,1,,,
2026-08-26 07:30:49,deployment,frontend,43,13,1,,,
2026-08-26 07:30:49,http_p95_latency,frontend,,,,,,424.1
2026-08-26 07:30:49,deployment,paymentservice,8,30,1,,,
2026-08-26 07:30:49,deployment,productcatalogservice,33,9,1,,,
2026-08-26 07:30:49,deployment,recommendationservice,27,46,1,,,
2026-08-26 07:30:49,deployment,redis-cart,5,11,1,,,
2026-08-26 07:30:49,deployment,shippingservice,16,11,1,,,
2026-08-26 07:30:49,node,ze-master-node,801,3011,,20.0,37.9,
2026-08-26 07:30:49,node,ze-worker-node,524,2355,,13.1,29.7,
2026-08-26 07:30:55,deployment,adservice,10,92,1,,,
2026-08-26 07:30:55,deployment,cartservice,24,43,1,,,
2026-08-26 07:30:55,deployment,checkoutservice,9,12,1,,,
2026-08-26 07:30:55,deployment,currencyservice,26,38,1,,,
2026-08-26 07:30:55,deployment,emailservice,21,40,1,,,
2026-08-26 07:30:55,deployment,frontend,43,13,1,,,
2026-08-26 07:30:55,http_p95_latency,frontend,,,,,,401.7
2026-08-26 07:30:55,deployment,paymentservice,8,30,1,,,
2026-08-26 07:30:55,deployment,productcatalogservice,33,9,1,,,
2026-08-26 07:30:55,deployment,recommendationservice,27,46,1,,,
2026-08-26 07:30:55,deployment,redis-cart,5,11,1,,,
2026-08-26 07:30:55,deployment,shippingservice,16,11,1,,,
2026-08-26 07:30:55,node,ze-master-node,801,3011,,20.0,37.9,
2026-08-26 07:30:55,node,ze-worker-node,524,2355,,13.1,29.7,
2026-08-26 07:31:01,deployment,adservice,10,92,1,,,
2026-08-26 07:31:01,deployment,cartservice,24,43,1,,,
2026-08-26 07:31:01,deployment,checkoutservice,9,12,1,,,
2026-08-26 07:31:01,deployment,currencyservice,26,38,1,,,
2026-08-26 07:31:01,deployment,emailservice,21,40,1,,,
2026-08-26 07:31:01,deployment,frontend,43,13,1,,,
2026-08-26 07:31:01,http_p95_latency,frontend,,,,,,401.7
2026-08-26 07:31:01,deployment,paymentservice,8,30,1,,,
2026-08-26 07:31:01,deployment,productcatalogservice,33,9,1,,,
2026-08-26 07:31:01,deployment,recommendationservice,27,46,1,,,
2026-08-26 07:31:01,deployment,redis-cart,5,11,1,,,
2026-08-26 07:31:01,deployment,shippingservice,16,11,1,,,
2026-08-26 07:31:01,node,ze-master-node,801,3011,,20.0,37.9,
2026-08-26 07:31:01,node,ze-worker-node,524,2355,,13.1,29.7,
