Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4593,2,140,203.1797207838207,72.00766704045236,2223.695124965161,10273.397561506641,1.0630978098421002,0.00046292088388508613,140,170,200,230,350,510,790,910,1900,2200,2200
GET,/cart,12026,3,180,196.6536506850851,62.3685410246253,2247.271375032142,13868.702893730251,2.7835432748010227,0.0006943813258276292,180,200,210,220,260,310,470,750,1600,2100,2200
POST,/cart,12331,8,240,264.8772715422507,57.43883294053376,3965.3341248631477,18071.065363717462,2.8541387095934985,0.0018516835355403445,240,260,280,290,330,400,580,940,2300,3700,4000
POST,/cart/checkout,4048,5,170,196.40455326635305,66.04537507519126,3457.810000050813,6558.554841897233,0.9369518689834143,0.0011573022097127153,170,190,200,220,260,310,440,750,2200,3500,3500
GET,/product/0PUK6V6EV0,5792,0,130,150.7288514567637,81.46929182112217,2050.113291013986,7736.621201657458,1.3406188797312093,0.0,130,140,150,160,190,240,430,760,1400,2100,2100
GET,/product/1YMWWN1N4O,5833,1,130,151.66137978989715,84.28987511433661,1971.2400001008064,7757.908794788274,1.3501087578508537,0.00023146044194254306,130,140,150,160,190,230,420,810,1400,2000,2000
GET,/product/2ZYFJ3GM2N,5804,2,130,150.8855002375126,61.33799999952316,2025.4298329818994,7751.971743625086,1.34339640503452,0.00046292088388508613,130,140,150,160,190,240,420,730,1800,2000,2000
GET,/product/66VCHSJNUP,5873,1,130,152.54775647538773,76.47545798681676,2232.4924590066075,7722.240422271411,1.3593671755285552,0.00023146044194254306,130,140,150,160,190,250,460,730,2000,2200,2200
GET,/product/6E92ZMYYFZ,5841,5,130,150.98198268113237,64.07262501306832,2303.2430831808597,7707.938366718027,1.351960441386394,0.0011573022097127153,130,140,150,160,190,230,400,750,1900,2300,2300
GET,/product/9SIQT8TOJO,5858,1,130,151.3322064600654,77.60941702872515,2183.0682498402894,7762.022021167634,1.3558952688994172,0.00023146044194254306,130,140,150,160,190,240,430,820,1600,2200,2200
GET,/product/L9ECAV7KIM,5943,2,130,150.10233401557818,82.62987504713237,2331.145792035386,7725.780077401985,1.3755694064645334,0.00046292088388508613,130,140,150,160,190,230,390,700,1800,2300,2300
GET,/product/LS4PSXUNUM,5888,1,130,150.4753183378299,84.91099998354912,2159.593707881868,7728.206861413043,1.3628390821576934,0.00023146044194254306,130,140,150,160,190,240,420,710,1600,2200,2200
GET,/product/OLJCESPC7Z,5826,2,130,148.47563882853927,53.76933398656547,2454.602374928072,7758.5502917954,1.3484885347572557,0.00046292088388508613,130,140,150,160,190,230,370,720,1300,2500,2500
POST,/setCurrency,4047,2,200,227.29433186770854,146.3944590650499,2115.2026660274714,10279.670620212502,0.9367204085414718,0.00046292088388508613,200,220,230,240,280,340,520,760,1300,2100,2100
,Aggregated,89703,35,140,180.81947298768267,53.76933398656547,3965.3341248631477,10172.176560427188,20.76269602357194,0.008101115467989008,140,180,200,210,270,320,500,790,1800,2500,4000
