Autoscaler,DisplayName,Run,File,CPUCost_USD,MemoryCost_USD,TotalCost_USD
queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1.csv,0.17982691428571426,0.01627618570963542,0.19610309999534972
queue-CDT120,QUEUE-CDT120,2,queue-CDT120-2.csv,0.18168608095238095,0.016561602143787203,0.19824768309616816
queue-CDT120,QUEUE-CDT120,3,queue-CDT120-3.csv,0.18340344285714283,0.0167294864327567,0.20013292928989956
queue-CDT120,QUEUE-CDT120,4,queue-CDT120-4.csv,0.18247901746031747,0.016537973904079864,0.19901699136439732
queue-CDT120,QUEUE-CDT120,5,queue-CDT120-5.csv,0.18278033333333332,0.016520422363281252,0.1993007556966146
queue-CDT300,QUEUE-CDT300,1,queue-CDT300-1.csv,0.19151541428571428,0.01750794852120536,0.20902336280691966
queue-CDT300,QUEUE-CDT300,2,queue-CDT300-2.csv,0.19245077142857142,0.017420573904854915,0.20987134533342633
queue-CDT300,QUEUE-CDT300,3,queue-CDT300-3.csv,0.19190341428571428,0.017371836460658485,0.20927525074637277
queue-CDT300,QUEUE-CDT300,4,queue-CDT300-4.csv,0.18944885238095238,0.017313133138020836,0.2067619855189732
queue-CDT300,QUEUE-CDT300,5,queue-CDT300-5.csv,0.1946003222222222,0.017650494016617068,0.21225081623883932
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1.csv,0.18096905079365078,0.016831691778273813,0.1978007425719246
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2.csv,0.18360837460317458,0.017158008006262406,0.20076638260943702
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3.csv,0.1813454723809524,0.016855658505394347,0.19820113088634672
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4.csv,0.1801790088888889,0.016744770345052087,0.19692377923394097
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5.csv,0.17923382857142858,0.01670948583209326,0.1959433144035218
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1.csv,0.19430393333333335,0.018027528347439238,0.21233146168077255
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2.csv,0.1953192,0.018072832166883684,0.21339203216688368
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3.csv,0.19685072222222222,0.01843515112304688,0.2152858733452691
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4.csv,0.19410346666666667,0.018089463704427086,0.21219293037109374
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5.csv,0.1943418711111111,0.018021961290147576,0.21236383240125867
