Autoscaler,DisplayName,Run,File,ScaleUpEvents,ScaleDownEvents,DecisionEvents,TotalScalingMagnitude
queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1.csv,24,19,43,61.5
queue-CDT120,QUEUE-CDT120,2,queue-CDT120-2.csv,25,24,49,69.66666666666666
queue-CDT120,QUEUE-CDT120,3,queue-CDT120-3.csv,21,22,43,71.85714285714286
queue-CDT120,QUEUE-CDT120,4,queue-CDT120-4.csv,23,21,44,66.71428571428572
queue-CDT120,QUEUE-CDT120,5,queue-CDT120-5.csv,24,22,46,69.07142857142857
queue-CDT300,QUEUE-CDT300,1,queue-CDT300-1.csv,20,25,45,65.82142857142856
queue-CDT300,QUEUE-CDT300,2,queue-CDT300-2.csv,23,25,48,64.53571428571428
queue-CDT300,QUEUE-CDT300,3,queue-CDT300-3.csv,20,25,45,67.85714285714286
queue-CDT300,QUEUE-CDT300,4,queue-CDT300-4.csv,20,26,46,63.46428571428571
queue-CDT300,QUEUE-CDT300,5,queue-CDT300-5.csv,24,24,48,66.46428571428572
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1.csv,17,13,30,57.99999999999999
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2.csv,19,14,33,60.0
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3.csv,19,13,32,58.0
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4.csv,17,13,30,60.0
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5.csv,17,11,28,60.0
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1.csv,18,11,29,54.0
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2.csv,19,15,34,60.0
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3.csv,17,16,33,60.0
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4.csv,17,12,29,58.0
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5.csv,15,15,30,60.0
