Method,DisplayName,Run,File,SLOViolationRate_percent
queue-CDT120,QUEUE-CDT120,1,queue-CDT120-1_stats.csv,4.025
queue-CDT120,QUEUE-CDT120,2,queue-CDT120-2_stats.csv,2.0000000000000018
queue-CDT120,QUEUE-CDT120,3,queue-CDT120-3_stats.csv,3.125
queue-CDT120,QUEUE-CDT120,4,queue-CDT120-4_stats.csv,3.9354838709677487
queue-CDT120,QUEUE-CDT120,5,queue-CDT120-5_stats.csv,2.8181818181818197
queue-CDT300,QUEUE-CDT300,1,queue-CDT300-1_stats.csv,2.4499999999999966
queue-CDT300,QUEUE-CDT300,2,queue-CDT300-2_stats.csv,1.9199999999999995
queue-CDT300,QUEUE-CDT300,3,queue-CDT300-3_stats.csv,2.3157894736842155
queue-CDT300,QUEUE-CDT300,4,queue-CDT300-4_stats.csv,3.2413793103448274
queue-CDT300,QUEUE-CDT300,5,queue-CDT300-5_stats.csv,3.1538461538461515
hpa80-CDT120,HPA80-CDT120,1,hpa80-CDT120-1_stats.csv,4.325000000000001
hpa80-CDT120,HPA80-CDT120,2,hpa80-CDT120-2_stats.csv,4.5000000000000036
hpa80-CDT120,HPA80-CDT120,3,hpa80-CDT120-3_stats.csv,4.384615384615387
hpa80-CDT120,HPA80-CDT120,4,hpa80-CDT120-4_stats.csv,4.522727272727279
hpa80-CDT120,HPA80-CDT120,5,hpa80-CDT120-5_stats.csv,4.428571428571438
hpa80-CDT300,HPA80-CDT300,1,hpa80-CDT300-1_stats.csv,4.560975609756102
hpa80-CDT300,HPA80-CDT300,2,hpa80-CDT300-2_stats.csv,4.714285714285715
hpa80-CDT300,HPA80-CDT300,3,hpa80-CDT300-3_stats.csv,2.5454545454545507
hpa80-CDT300,HPA80-CDT300,4,hpa80-CDT300-4_stats.csv,3.500000000000003
hpa80-CDT300,HPA80-CDT300,5,hpa80-CDT300-5_stats.csv,4.666666666666675
