Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4661,0,140,195.19327800432004,88.19783292710781,5125.418083043769,10276.00407637846,1.0790082060567412,0.0,140,160,190,220,320,470,700,880,1400,5100,5100
GET,/cart,12023,4,180,200.2349700635031,61.592791927978396,3981.0354160144925,14149.747899858605,2.7832902084145466,0.0009259885913381173,180,200,210,220,260,310,580,910,1900,3900,4000
POST,/cart,12132,3,240,259.06877442672,71.81808305904269,3083.8506671134382,18095.427382129903,2.80852339752851,0.000694491443503588,240,260,280,290,320,370,470,590,2000,2800,3100
POST,/cart/checkout,3994,0,160,186.6899492845996,100.32774996943772,2036.2545000389218,6562.174261392088,0.9245996084511102,0.0,160,180,200,210,240,280,390,630,1600,2000,2000
GET,/product/0PUK6V6EV0,5972,1,120,153.1979138835047,66.44237507134676,3300.3357090055943,7735.994474212994,1.3825009668678092,0.00023149714783452934,120,130,140,150,180,230,590,860,2500,3300,3300
GET,/product/1YMWWN1N4O,5855,0,120,152.75060068267175,82.40120788104832,3899.972290964797,7759.6736122971815,1.3554158005711694,0.0,120,130,140,150,180,240,540,830,1900,3900,3900
GET,/product/2ZYFJ3GM2N,5847,0,120,151.8084498005103,83.31408305093646,4190.48916711472,7756.152898922524,1.353563823388493,0.0,120,130,140,150,180,230,500,800,2700,4200,4200
GET,/product/66VCHSJNUP,5942,0,120,153.2576852774317,83.8558750692755,2659.435207955539,7723.4883877482325,1.3755560524327735,0.0,120,130,140,150,190,250,570,880,1600,2700,2700
GET,/product/6E92ZMYYFZ,5666,1,120,150.26041604928605,57.254458079114556,4278.519249986857,7710.948993999294,1.3116628396304433,0.00023149714783452934,120,130,140,150,180,230,490,840,1400,4300,4300
GET,/product/9SIQT8TOJO,5691,0,120,155.1777150212656,83.80120783112943,3840.1635421905667,7762.39975399754,1.3174502683263065,0.0,120,130,140,150,190,250,630,960,1800,3800,3800
GET,/product/L9ECAV7KIM,5937,1,120,153.44496955761755,68.35458287969232,3708.9976670686156,7729.128179215092,1.3743985666936007,0.00023149714783452934,120,130,140,150,190,250,560,890,1400,3700,3700
GET,/product/LS4PSXUNUM,5792,0,120,153.90859517360167,84.03220912441611,3582.167916931212,7728.850138121547,1.340831480257594,0.0,120,130,140,150,180,240,530,900,2800,3600,3600
GET,/product/OLJCESPC7Z,5797,0,120,150.563632849699,80.58424992486835,3819.691332988441,7762.011902708297,1.3419889659967665,0.0,120,130,140,150,180,230,480,790,2000,3800,3800
POST,/setCurrency,3961,0,200,232.2424198118737,151.28433308564126,4385.213125031441,10286.4662963898,0.9169602025725707,0.0,200,210,230,240,280,370,690,930,2000,4400,4400
,Aggregated,89270,10,140,180.8343193546051,57.254458079114556,5125.418083043769,10203.85156267503,20.665750387188435,0.0023149714783452934,140,180,200,210,260,320,540,850,1900,3800,5100
