Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4633,2,150,211.6986430763612,65.24879089556634,3372.546667000279,10271.080293546298,1.072251070048119,0.00046287548890486463,150,170,200,240,380,530,850,1100,2000,3400,3400
GET,/cart,11973,5,190,214.47406011209802,58.641166891902685,4206.893083173782,14061.49937359058,2.771004114328972,0.0011571887222621615,190,210,220,230,280,370,790,1100,2400,3700,4200
POST,/cart,12217,8,250,284.6372435788191,64.00520796887577,4326.861707959324,18068.934026356717,2.8274749239753656,0.0018515019556194585,250,270,290,300,350,460,940,1200,2300,4200,4300
POST,/cart/checkout,4063,3,170,212.86732691694064,55.845458060503006,3288.2840000092983,6558.513659857248,0.9403315557102324,0.0006943132333572969,170,190,210,220,270,360,850,1100,1700,3300,3300
GET,/product/0PUK6V6EV0,5742,0,130,166.55288660782512,84.75670893676579,4544.423000188544,7737.843434343435,1.3289155286458663,0.0,130,140,150,170,210,310,660,1000,2200,4500,4500
GET,/product/1YMWWN1N4O,5770,2,130,164.93839934469077,61.942082829773426,2904.137333156541,7755.4946273830155,1.3353957854905345,0.00046287548890486463,130,140,150,160,210,310,650,1100,2000,2900,2900
GET,/product/2ZYFJ3GM2N,5736,2,130,169.34621598405278,62.168167205527425,4022.99025002867,7752.497036262203,1.3275269021791518,0.00046287548890486463,130,140,150,170,210,310,770,1100,2200,4000,4000
GET,/product/66VCHSJNUP,5726,2,130,167.8174905983326,63.82000003941357,4455.214458052069,7719.9056933286765,1.3252125247346274,0.00046287548890486463,130,140,150,160,200,300,790,1100,2100,4500,4500
GET,/product/6E92ZMYYFZ,5899,3,130,165.6149663856014,63.63316695205867,3779.577082954347,7708.338701474826,1.3652512545248983,0.0006943132333572969,130,140,150,160,210,290,740,1000,2100,3800,3800
GET,/product/9SIQT8TOJO,5957,1,130,165.9884887236779,84.93804186582565,2743.2454170193523,7763.001175088131,1.3786746437031392,0.00023143774445243232,130,140,150,160,210,310,800,1000,1700,2700,2700
GET,/product/L9ECAV7KIM,5765,1,130,165.14480341991597,81.77558309398592,4462.798041990027,7727.5398091934085,1.3342385967682722,0.00023143774445243232,130,140,150,160,210,300,700,1000,2100,4500,4500
GET,/product/LS4PSXUNUM,5881,0,130,164.92735478412433,83.22941698133945,2454.9843329004943,7729.577452814147,1.3610853751247545,0.0,130,140,150,160,200,300,710,1100,2000,2500,2500
GET,/product/OLJCESPC7Z,5801,1,130,167.6762091418784,63.08679189532995,4022.149208933115,7760.982416824685,1.3425703555685597,0.00023143774445243232,130,140,150,160,210,310,760,1100,2300,4000,4000
POST,/setCurrency,3951,3,200,233.10544256837974,65.02108322456479,3938.841083087027,10279.75803594027,0.91441052833156,0.0006943132333572969,200,220,230,240,290,360,560,870,1500,3900,3900
,Aggregated,89114,33,150,196.52095009077217,55.845458060503006,4544.423000188544,10195.383912740983,20.624343159134053,0.007637445566930266,150,190,210,220,280,370,770,1100,2100,4000,4500
