Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787698283,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787698284,10,,Aggregated,0.000000,0.000000,350,480,480,480,490,490,500,500,500,500,500,21,0,350,357.6599047851882,175.60174991376698,500.41266717016697,9367.619047619048
1787698285,10,,Aggregated,0.000000,0.000000,320,480,480,480,490,490,500,500,500,500,500,23,0,320,345.4864819270923,116.67562485672534,500.41266717016697,9170.304347826086
1787698286,10,,Aggregated,0.000000,0.000000,310,480,480,480,490,490,500,500,500,500,500,25,0,310,326.866676742211,110.54133414290845,500.41266717016697,9049.8
1787698287,10,,Aggregated,10.500000,0.000000,270,480,480,480,490,490,500,500,500,500,500,27,0,270,314.77324387782977,110.54133414290845,500.41266717016697,8947.037037037036
1787698288,10,,Aggregated,7.666667,0.000000,270,480,480,480,490,490,500,500,500,500,500,29,0,270,301.04331326959976,107.92879108339548,500.41266717016697,8825.965517241379
1787698289,10,,Aggregated,6.250000,0.000000,220,320,480,480,480,490,500,500,500,500,500,35,0,220,272.2062131190406,107.92879108339548,500.41266717016697,8600.228571428572
1787698290,10,,Aggregated,5.400000,0.000000,210,310,480,480,480,490,500,500,500,500,500,37,0,210,263.8330304038686,107.92879108339548,500.41266717016697,8522.945945945947
1787698291,10,,Aggregated,4.833333,0.000000,210,270,480,480,480,490,500,500,500,500,500,40,0,200,254.71594167756848,107.92879108339548,500.41266717016697,8649.325
1787698292,10,,Aggregated,5.000000,0.000000,200,270,350,480,480,490,500,500,500,500,500,42,0,190,249.770028760568,107.92879108339548,500.41266717016697,8578.357142857143
1787698293,10,,Aggregated,4.625000,0.000000,190,260,320,480,480,490,500,500,500,500,500,45,0,190,242.3188342454119,107.92879108339548,500.41266717016697,8575.444444444445
1787698294,10,,Aggregated,4.444444,0.000000,180,240,310,480,480,490,500,500,500,500,500,49,0,180,234.00679162741469,107.92879108339548,500.41266717016697,8556.897959183674
1787698295,10,,Aggregated,4.200000,0.000000,180,220,270,350,480,490,490,500,500,500,500,55,0,180,224.7418598144908,107.92879108339548,500.41266717016697,8754.618181818181
1787698296,10,,Aggregated,4.700000,0.000000,180,210,270,320,480,490,490,500,500,500,500,60,0,180,219.44511592931426,107.92879108339548,500.41266717016697,8851.066666666668
1787698297,10,,Aggregated,2.900000,0.000000,180,200,260,310,480,480,490,500,500,500,500,62,0,180,216.75792333459663,107.92879108339548,500.41266717016697,8814.516129032258
1787698298,10,,Aggregated,3.200000,0.000000,180,210,260,270,480,480,490,500,500,500,500,66,0,180,216.77811042701995,107.92879108339548,500.41266717016697,8902.666666666666
1787698299,10,,Aggregated,3.500000,0.000000,180,210,260,270,480,480,490,500,500,500,500,68,0,180,214.69830815091402,107.92879108339548,500.41266717016697,8852.338235294117
1787698300,10,,Aggregated,3.700000,0.000000,180,210,250,270,480,480,490,500,500,500,500,75,0,180,210.3431621628503,102.31979098170996,500.41266717016697,8943.066666666668
1787698301,10,,Aggregated,3.700000,0.000000,170,200,240,260,480,480,490,500,500,500,500,77,0,170,208.12219800125177,102.31979098170996,500.41266717016697,8943.064935064935
1787698302,10,,Aggregated,3.300000,0.000000,180,210,240,260,480,480,490,500,500,500,500,78,0,170,208.1340314605488,102.31979098170996,500.41266717016697,9036.564102564103
1787698303,10,,Aggregated,3.800000,0.000000,180,210,240,260,480,480,490,500,500,500,500,84,0,170,205.14577970884386,102.31979098170996,500.41266717016697,9233.202380952382
1787698304,10,,Aggregated,3.700000,0.000000,170,200,240,260,480,480,490,500,500,500,500,90,0,150,200.56704256114446,102.31979098170996,500.41266717016697,9147.477777777778
1787698305,10,,Aggregated,3.600000,0.000000,170,200,240,250,480,480,490,500,500,500,500,92,0,150,199.46700494240403,102.31979098170996,500.41266717016697,9210.358695652174
1787698306,10,,Aggregated,3.900000,0.000000,150,190,220,250,480,480,490,500,500,500,500,95,0,150,197.02321443902818,102.31979098170996,500.41266717016697,9163.884210526316
1787698307,10,,Aggregated,4.000000,0.000000,140,190,220,240,480,480,490,500,500,500,500,99,0,140,194.82275417940033,102.31979098170996,500.41266717016697,9168.494949494949
1787698308,10,,Aggregated,3.700000,0.000000,150,190,220,240,350,480,490,490,500,500,500,105,0,150,193.6464055241751,102.31979098170996,500.41266717016697,9226.409523809523
1787698310,10,,Aggregated,3.500000,0.000000,150,190,220,240,350,480,490,490,500,500,500,106,0,140,192.92221026591747,102.31979098170996,500.41266717016697,9202.188679245282
1787698311,10,,Aggregated,3.500000,0.000000,140,190,220,240,350,480,490,490,500,500,500,109,0,140,192.15175340490399,102.31979098170996,500.41266717016697,9253.844036697248
1787698312,10,,Aggregated,3.800000,0.000000,140,190,220,240,320,480,490,490,500,500,500,116,0,130,189.2358670613311,102.31979098170996,500.41266717016697,9308.603448275862
1787698313,10,,Aggregated,3.800000,0.000000,140,190,210,240,320,480,490,490,500,500,500,118,0,130,188.79813943413419,102.31979098170996,500.41266717016697,9293.889830508475
1787698314,10,,Aggregated,3.400000,0.000000,130,190,210,240,310,480,490,490,500,500,500,121,0,130,188.28013047291165,102.31979098170996,500.41266717016697,9337.619834710744
1787698315,10,,Aggregated,3.800000,0.000000,130,190,210,240,310,480,490,490,500,500,500,129,0,130,185.92108459060276,102.31979098170996,500.41266717016697,9257.891472868218
1787698316,10,,Aggregated,4.000000,0.000000,130,190,210,230,270,480,490,490,500,500,500,131,0,130,185.1437846251998,102.31979098170996,500.41266717016697,9253.65648854962
1787698317,10,,Aggregated,3.500000,0.000000,130,190,210,230,270,480,490,490,500,500,500,134,0,130,184.58646855233656,102.31979098170996,500.41266717016697,9282.955223880597
1787698318,10,,Aggregated,3.900000,0.000000,140,190,210,230,270,480,490,490,500,500,500,140,0,130,183.7110731800619,102.31979098170996,500.41266717016697,9347.514285714286
1787698319,10,,Aggregated,3.900000,0.000000,140,190,210,230,270,480,490,490,500,500,500,142,0,140,184.0357097754465,102.31979098170996,500.41266717016697,9394.788732394367
