Minute,Timestamp,Total Request Count,SelectedLatency_ms,CumulativeSLOViolationRate_percent,Method,DisplayName,Run,File
0,1788067480,239,300.0,3.6363636363636376,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
1,1788067540,478,290.0,3.568181818181826,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
2,1788067600,696,290.0,1.750000000000007,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
3,1788067660,930,280.0,1.6216216216216273,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
4,1788067720,1197,280.0,0.9357142857142842,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
5,1788067780,1405,280.0,0.8312500000000056,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
6,1788067840,1625,280.0,0.8090909090909149,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
7,1788067900,1828,280.0,0.7882352941176451,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
8,1788067960,2063,280.0,0.7882352941176451,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
9,1788068020,2338,280.0,0.7500000000000062,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
10,1788068080,2588,280.0,0.7500000000000062,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
11,1788068140,2844,280.0,0.7324324324324283,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
12,1788068200,3070,280.0,0.7000000000000006,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
13,1788068260,3444,280.0,0.8411764705882341,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
14,1788068320,3774,280.0,0.8269230769230806,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
15,1788068380,4129,280.0,0.7893617021276556,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
16,1788068440,4378,280.0,0.8043478260869596,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
17,1788068500,4714,280.0,0.8043478260869596,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
18,1788068560,4976,290.0,0.7893617021276556,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
19,1788068620,5227,290.0,0.7893617021276556,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
20,1788068680,5504,290.0,0.7893617021276556,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
21,1788068740,6093,290.0,0.8534883720930253,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
22,1788068800,6547,290.0,0.8534883720930253,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
23,1788068860,8062,430.0,4.125000000000001,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
24,1788068920,8580,420.0,4.0000000000000036,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
25,1788068980,8933,420.0,3.9090909090909176,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
26,1788069040,9261,410.0,3.772727272727272,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
27,1788069100,9546,410.0,3.772727272727272,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
28,1788069160,9849,400.0,3.57142857142857,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
29,1788069220,10133,400.0,3.500000000000003,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
30,1788069280,10422,390.0,3.3500000000000085,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
31,1788069340,10682,390.0,3.3500000000000085,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
32,1788069400,10969,390.0,3.2631578947368456,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
33,1788069460,11243,380.0,3.1052631578947443,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
34,1788069520,11537,380.0,3.0000000000000027,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
35,1788069580,11893,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
36,1788069640,12303,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
37,1788069700,12781,370.0,2.833333333333332,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
38,1788069760,13304,360.0,2.6666666666666727,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
39,1788069820,13945,360.0,2.6666666666666727,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
40,1788069880,14649,360.0,2.6666666666666727,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
41,1788069940,15425,360.0,2.52941176470588,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
42,1788070000,16272,350.0,2.187499999999998,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
43,1788070060,17293,350.0,2.187499999999998,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
44,1788070120,18662,360.0,2.200000000000002,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
45,1788070180,20232,350.0,1.9500000000000073,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
46,1788070240,22368,350.0,1.8947368421052602,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
47,1788070300,27443,370.0,2.833333333333332,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
48,1788070360,32040,380.0,3.3636363636363686,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
49,1788070420,36306,370.0,3.227272727272734,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
50,1788070480,41200,370.0,3.227272727272734,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
51,1788070540,47593,360.0,3.1739130434782603,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
52,1788070600,57387,370.0,3.227272727272734,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
53,1788070660,63320,370.0,3.1428571428571472,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
54,1788070720,67954,360.0,3.0909090909090886,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
55,1788070780,72802,360.0,3.1739130434782603,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
56,1788070840,75656,360.0,3.1739130434782603,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
57,1788070900,78260,370.0,3.3750000000000058,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
58,1788070960,80973,390.0,3.6800000000000055,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
59,1788071020,84000,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
60,1788071080,86417,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
61,1788071140,87045,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
62,1788071200,87384,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
63,1788071260,87695,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
64,1788071320,87913,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
65,1788071380,88103,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
66,1788071440,88286,380.0,3.500000000000003,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
67,1788071500,88453,380.0,3.500000000000003,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
