Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4499,1,150,236.29493410068736,77.26708403788507,26463.153999997303,10272.8324072016,1.0147449938035769,0.0002255490095140202,150,180,230,290,450,670,1000,1100,1700,26000,26000
GET,/cart,12063,3,180,208.38032541799654,78.94879207015038,3143.0339999496937,13897.145320401227,2.720797701767626,0.0006766470285420607,180,200,220,230,290,380,690,880,1600,3000,3100
POST,/cart,12143,5,240,279.75642345247854,59.66300005093217,26569.08933399245,18034.923742073624,2.7388416225287475,0.0011277450475701012,240,270,280,300,360,480,830,1100,2100,3600,27000
POST,/cart/checkout,4027,0,170,203.12639331540612,102.10683406330645,3288.9786248560995,6562.849019120934,0.9082858613129594,0.0,170,190,210,220,270,340,550,940,1900,3300,3300
GET,/product/0PUK6V6EV0,5821,1,130,163.59001547932527,71.6151250526309,2449.836333980784,7737.011338258031,1.3129207843811117,0.0002255490095140202,130,140,160,170,220,300,670,960,1700,2400,2400
GET,/product/1YMWWN1N4O,5723,1,130,164.5687442800076,76.17949997074902,2420.6170418765396,7758.984798182772,1.2908169814487378,0.0002255490095140202,130,140,150,170,220,320,670,920,1800,2400,2400
GET,/product/2ZYFJ3GM2N,5780,2,130,164.91748841195835,57.487000012770295,3675.1360408961773,7752.135294117647,1.303673274991037,0.0004510980190280404,130,140,150,160,220,320,680,940,1700,3700,3700
GET,/product/66VCHSJNUP,5881,0,130,164.0492519911691,81.12062513828278,2853.4755408763885,7722.6077197755485,1.3264537249519528,0.0,130,140,150,170,220,290,680,1000,1500,2900,2900
GET,/product/6E92ZMYYFZ,5705,0,130,168.3403577697998,81.01454214192927,3411.618750076741,7711.932690622261,1.2867570992774853,0.0,130,140,150,170,220,330,740,1000,2300,3400,3400
GET,/product/9SIQT8TOJO,5738,1,130,162.25849258631945,82.27241691201925,2084.9260000977665,7762.293830602997,1.294200216591448,0.0002255490095140202,130,140,150,170,210,310,650,930,1800,2100,2100
GET,/product/L9ECAV7KIM,5730,0,130,162.55530371037304,82.51020801253617,2674.962416989729,7730.006980802792,1.2923958245153357,0.0,130,140,150,170,220,290,630,920,1500,2700,2700
GET,/product/LS4PSXUNUM,5954,1,130,160.43760562805176,67.27424985729158,2104.3924579862505,7727.623278468257,1.3429188026464765,0.0002255490095140202,130,140,150,170,210,290,580,880,1500,2100,2100
GET,/product/OLJCESPC7Z,5934,2,130,163.89061074168274,64.82837512157857,3026.6090829391032,7759.604651162791,1.338407822456196,0.0004510980190280404,130,140,150,170,210,310,650,940,1900,3000,3000
POST,/setCurrency,4022,1,200,258.73355057439244,58.439499931409955,26465.480915969238,10284.577076081552,0.9071581162653893,0.0002255490095140202,200,220,240,260,350,510,850,1100,2400,26000,26000
,Aggregated,89020,18,150,195.40774812132096,57.487000012770295,26569.08933399245,10168.513929454055,20.07837282693808,0.004059882171252364,150,190,210,220,290,390,720,1000,1800,3100,27000
