Autoscaler,Minute,MeanReplicas,StdReplicas,MinReplicas,MaxReplicas,Runs
queue-CDT120,0,11.0,0.0,11.0,11.0,5
queue-CDT120,1,11.0,0.0,11.0,11.0,5
queue-CDT120,2,11.0,0.0,11.0,11.0,5
queue-CDT120,3,11.0,0.0,11.0,11.0,5
queue-CDT120,4,11.0,0.0,11.0,11.0,5
queue-CDT120,5,11.0,0.0,11.0,11.0,5
queue-CDT120,6,11.0,0.0,11.0,11.0,5
queue-CDT120,7,11.0,0.0,11.0,11.0,5
queue-CDT120,8,11.0,0.0,11.0,11.0,5
queue-CDT120,9,11.0,0.0,11.0,11.0,5
queue-CDT120,10,11.0,0.0,11.0,11.0,5
queue-CDT120,11,11.0,0.0,11.0,11.0,5
queue-CDT120,12,11.0,0.0,11.0,11.0,5
queue-CDT120,13,11.0,0.0,11.0,11.0,5
queue-CDT120,14,11.128571428571428,0.08874838314135094,11.0,11.25,5
queue-CDT120,15,11.975,0.055901699437494894,11.875,12.0,5
queue-CDT120,16,11.642857142857142,0.3350296971302449,11.285714285714286,12.0,5
queue-CDT120,17,11.925,0.11180339887498959,11.75,12.0,5
queue-CDT120,18,11.125,0.1767766952966371,11.0,11.375,5
queue-CDT120,19,11.171428571428573,0.3833259389999641,11.0,11.857142857142858,5
queue-CDT120,20,11.0,0.0,11.0,11.0,5
queue-CDT120,21,11.0,0.0,11.0,11.0,5
queue-CDT120,22,11.578571428571427,0.051445929610313836,11.5,11.625,5
queue-CDT120,23,12.0,0.0,12.0,12.0,5
queue-CDT120,24,13.195238095238096,0.2476648309323025,12.833333333333332,13.428571428571429,5
queue-CDT120,25,16.303571428571427,0.6321025007295659,15.571428571428571,17.285714285714285,5
queue-CDT120,26,13.121428571428572,0.2485288346100975,12.714285714285714,13.375,5
queue-CDT120,27,12.007142857142856,0.3429315395473657,11.714285714285714,12.571428571428571,5
queue-CDT120,28,11.2,0.44721359549995787,11.0,12.0,5
queue-CDT120,29,11.114285714285714,0.2555506259999759,11.0,11.571428571428571,5
queue-CDT120,30,11.0,0.0,11.0,11.0,5
queue-CDT120,31,11.0,0.0,11.0,11.0,5
queue-CDT120,32,11.0,0.0,11.0,11.0,5
queue-CDT120,33,11.0,0.0,11.0,11.0,5
queue-CDT120,34,11.0,0.0,11.0,11.0,5
queue-CDT120,35,11.0,0.0,11.0,11.0,5
queue-CDT120,36,11.05,0.11180339887498954,11.0,11.25,5
queue-CDT120,37,11.2,0.44721359549995787,11.0,12.0,5
queue-CDT120,38,11.675,0.46435439052516764,11.0,12.0,5
queue-CDT120,39,12.0,0.0,12.0,12.0,5
queue-CDT120,40,12.075,0.06846531968814584,12.0,12.125,5
queue-CDT120,41,12.971428571428572,0.06388765649999363,12.857142857142858,13.0,5
queue-CDT120,42,13.582142857142859,0.34293153954736577,13.0,13.875,5
queue-CDT120,43,14.0,0.0,14.0,14.0,5
queue-CDT120,44,14.085714285714285,0.19166296949998196,14.0,14.428571428571429,5
queue-CDT120,45,14.114285714285714,0.2555506259999759,14.0,14.571428571428571,5
queue-CDT120,46,14.282142857142855,0.35767817024440796,14.0,14.875,5
queue-CDT120,47,15.739285714285714,0.652653531862856,14.857142857142858,16.57142857142857,5
queue-CDT120,48,19.90357142857143,0.8264211630733518,19.142857142857142,21.0,5
queue-CDT120,49,23.766666666666666,1.2002456286781453,22.857142857142858,25.833333333333332,5
queue-CDT120,50,22.73452380952381,1.362663687144791,21.714285714285715,25.0,5
queue-CDT120,51,22.446428571428573,1.2383384605418437,21.142857142857142,24.375,5
queue-CDT120,52,22.65714285714286,0.7296779062975506,21.875,23.857142857142858,5
queue-CDT120,53,25.71428571428571,0.4432026302139598,25.428571428571427,26.5,5
queue-CDT120,54,29.417857142857144,0.19868830065287357,29.25,29.75,5
queue-CDT120,55,26.325,0.6349212549600147,25.625,27.0,5
queue-CDT120,56,25.485714285714288,0.6841173741637131,24.625,26.375,5
queue-CDT120,57,23.094047619047622,0.7561445200141254,22.0,23.75,5
queue-CDT120,58,21.060714285714287,0.3702074707897875,20.857142857142858,21.714285714285715,5
queue-CDT120,59,19.82857142857143,0.3541391545936811,19.57142857142857,20.375,5
queue-CDT120,60,20.142857142857146,0.40406101782088516,19.857142857142858,20.857142857142858,5
queue-CDT120,61,19.2,0.44721359549995765,19.0,20.0,5
queue-CDT120,62,18.366666666666667,0.3957236690194585,17.875,18.875,5
queue-CDT120,63,15.225,0.43660622991432463,15.0,16.0,5
queue-CDT120,64,14.946428571428573,0.327083197928825,14.625,15.5,5
queue-CDT120,65,13.2,0.44721359549995804,13.0,14.0,5
queue-CDT120,66,13.2,0.44721359549995804,13.0,14.0,5
queue-CDT120,67,12.303571428571427,0.4627378042803549,12.0,13.125,5
queue-CDT120,68,12.2,0.44721359549995804,12.0,13.0,5
queue-CDT120,69,11.325,0.4558645632202616,11.0,12.125,5
queue-CDT120,70,11.2,0.44721359549995804,11.0,12.0,5
queue-CDT120,71,11.025,0.055901699437494644,11.0,11.125,5
queue-CDT300,0,11.0,0.0,11.0,11.0,5
queue-CDT300,1,11.0,0.0,11.0,11.0,5
queue-CDT300,2,11.0,0.0,11.0,11.0,5
queue-CDT300,3,11.0,0.0,11.0,11.0,5
queue-CDT300,4,11.0,0.0,11.0,11.0,5
queue-CDT300,5,11.0,0.0,11.0,11.0,5
queue-CDT300,6,11.0,0.0,11.0,11.0,5
queue-CDT300,7,11.0,0.0,11.0,11.0,5
queue-CDT300,8,11.0,0.0,11.0,11.0,5
queue-CDT300,9,11.0,0.0,11.0,11.0,5
queue-CDT300,10,11.0,0.0,11.0,11.0,5
queue-CDT300,11,11.0,0.0,11.0,11.0,5
queue-CDT300,12,11.0,0.0,11.0,11.0,5
queue-CDT300,13,11.0,0.0,11.0,11.0,5
queue-CDT300,14,11.05,0.11180339887498954,11.0,11.25,5
queue-CDT300,15,11.6,0.547722557505166,11.0,12.0,5
queue-CDT300,16,11.725,0.43660622991432446,11.0,12.0,5
queue-CDT300,17,11.646428571428572,0.38680401618749416,11.0,12.0,5
queue-CDT300,18,11.0,0.0,11.0,11.0,5
