Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-07-31 02:08:08,deployment,details-v1,4,21,1,,,
2026-07-31 02:08:08,deployment,productpage-v1,3,298,1,,,
2026-07-31 02:08:08,http_p95_latency,productpage-v1,,,,,,48.7
2026-07-31 02:08:08,deployment,ratings-v1,0,24,1,,,
2026-07-31 02:08:08,deployment,reviews-v1,1,96,1,,,
2026-07-31 02:08:08,deployment,reviews-v2,5,120,1,,,
2026-07-31 02:08:08,deployment,reviews-v3,1,123,1,,,
2026-07-31 02:08:08,node,ze-master-node,329,2672,,8.2,33.6,
2026-07-31 02:08:08,node,ze-worker-node,926,1649,,23.2,20.8,
2026-07-31 02:08:15,deployment,details-v1,4,21,1,,,
2026-07-31 02:08:15,deployment,productpage-v1,3,298,1,,,
2026-07-31 02:08:15,http_p95_latency,productpage-v1,,,,,,48.7
2026-07-31 02:08:15,deployment,ratings-v1,0,24,1,,,
2026-07-31 02:08:15,deployment,reviews-v1,1,96,1,,,
2026-07-31 02:08:15,deployment,reviews-v2,5,120,1,,,
2026-07-31 02:08:15,deployment,reviews-v3,1,123,1,,,
2026-07-31 02:08:15,node,ze-master-node,329,2672,,8.2,33.6,
2026-07-31 02:08:15,node,ze-worker-node,926,1649,,23.2,20.8,
2026-07-31 02:08:20,deployment,details-v1,5,21,1,,,
2026-07-31 02:08:20,deployment,productpage-v1,2,298,1,,,
2026-07-31 02:08:20,http_p95_latency,productpage-v1,,,,,,48.7
2026-07-31 02:08:20,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:08:20,deployment,reviews-v1,2,96,1,,,
2026-07-31 02:08:20,deployment,reviews-v2,3,120,1,,,
2026-07-31 02:08:20,deployment,reviews-v3,2,123,1,,,
2026-07-31 02:08:20,node,ze-master-node,993,2864,,24.8,36.1,
2026-07-31 02:08:20,node,ze-worker-node,1014,1839,,25.4,23.2,
2026-07-31 02:08:27,deployment,details-v1,5,21,1,,,
2026-07-31 02:08:27,deployment,productpage-v1,2,298,1,,,
2026-07-31 02:08:27,http_p95_latency,productpage-v1,,,,,,48.7
2026-07-31 02:08:27,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:08:27,deployment,reviews-v1,2,96,1,,,
2026-07-31 02:08:27,deployment,reviews-v2,3,120,1,,,
2026-07-31 02:08:27,deployment,reviews-v3,2,123,1,,,
2026-07-31 02:08:27,node,ze-master-node,993,2864,,24.8,36.1,
2026-07-31 02:08:27,node,ze-worker-node,1014,1839,,25.4,23.2,
2026-07-31 02:08:33,deployment,details-v1,5,21,1,,,
2026-07-31 02:08:33,deployment,productpage-v1,2,298,1,,,
2026-07-31 02:08:33,http_p95_latency,productpage-v1,,,,,,434.4
2026-07-31 02:08:33,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:08:33,deployment,reviews-v1,2,96,1,,,
2026-07-31 02:08:33,deployment,reviews-v2,3,120,1,,,
2026-07-31 02:08:33,deployment,reviews-v3,2,123,1,,,
2026-07-31 02:08:33,node,ze-master-node,993,2864,,24.8,36.1,
2026-07-31 02:08:33,node,ze-worker-node,1014,1839,,25.4,23.2,
2026-07-31 02:08:38,deployment,details-v1,9,21,1,,,
2026-07-31 02:08:38,deployment,productpage-v1,58,298,1,,,
2026-07-31 02:08:38,http_p95_latency,productpage-v1,,,,,,434.4
2026-07-31 02:08:38,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:08:38,deployment,reviews-v1,2,96,1,,,
2026-07-31 02:08:38,deployment,reviews-v2,4,120,1,,,
2026-07-31 02:08:38,deployment,reviews-v3,2,123,1,,,
2026-07-31 02:08:38,node,ze-master-node,457,2868,,11.4,36.1,
2026-07-31 02:08:38,node,ze-worker-node,232,1849,,5.8,23.3,
2026-07-31 02:08:44,deployment,details-v1,9,21,1,,,
2026-07-31 02:08:44,deployment,productpage-v1,58,298,1,,,
2026-07-31 02:08:44,http_p95_latency,productpage-v1,,,,,,236.2
2026-07-31 02:08:44,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:08:44,deployment,reviews-v1,2,96,1,,,
2026-07-31 02:08:44,deployment,reviews-v2,4,120,1,,,
2026-07-31 02:08:44,deployment,reviews-v3,2,123,1,,,
2026-07-31 02:08:44,node,ze-master-node,457,2868,,11.4,36.1,
2026-07-31 02:08:44,node,ze-worker-node,232,1849,,5.8,23.3,
2026-07-31 02:08:51,deployment,details-v1,6,21,1,,,
2026-07-31 02:08:51,deployment,productpage-v1,44,298,1,,,
2026-07-31 02:08:51,http_p95_latency,productpage-v1,,,,,,236.2
2026-07-31 02:08:51,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:08:51,deployment,reviews-v1,1,96,1,,,
2026-07-31 02:08:51,deployment,reviews-v2,3,120,1,,,
2026-07-31 02:08:51,deployment,reviews-v3,4,123,1,,,
2026-07-31 02:08:51,node,ze-master-node,630,2866,,15.8,36.1,
2026-07-31 02:08:51,node,ze-worker-node,411,1849,,10.3,23.3,
2026-07-31 02:08:57,deployment,details-v1,6,21,1,,,
2026-07-31 02:08:57,deployment,productpage-v1,44,298,1,,,
2026-07-31 02:08:57,http_p95_latency,productpage-v1,,,,,,236.2
2026-07-31 02:08:57,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:08:57,deployment,reviews-v1,1,96,1,,,
2026-07-31 02:08:57,deployment,reviews-v2,3,120,1,,,
2026-07-31 02:08:57,deployment,reviews-v3,4,123,1,,,
2026-07-31 02:08:57,node,ze-master-node,630,2866,,15.8,36.1,
2026-07-31 02:08:57,node,ze-worker-node,411,1849,,10.3,23.3,
2026-07-31 02:09:02,deployment,details-v1,6,21,1,,,
2026-07-31 02:09:02,deployment,productpage-v1,44,298,1,,,
2026-07-31 02:09:02,http_p95_latency,productpage-v1,,,,,,46.9
2026-07-31 02:09:02,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:09:02,deployment,reviews-v1,1,96,1,,,
2026-07-31 02:09:02,deployment,reviews-v2,2,120,1,,,
2026-07-31 02:09:02,deployment,reviews-v3,3,123,1,,,
2026-07-31 02:09:02,node,ze-master-node,500,2870,,12.5,36.1,
2026-07-31 02:09:02,node,ze-worker-node,213,1852,,5.3,23.3,
2026-07-31 02:09:09,deployment,details-v1,6,21,1,,,
2026-07-31 02:09:09,deployment,productpage-v1,44,298,1,,,
2026-07-31 02:09:09,http_p95_latency,productpage-v1,,,,,,46.9
2026-07-31 02:09:09,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:09:09,deployment,reviews-v1,2,96,1,,,
2026-07-31 02:09:09,deployment,reviews-v2,2,120,1,,,
2026-07-31 02:09:09,deployment,reviews-v3,3,123,1,,,
2026-07-31 02:09:09,node,ze-master-node,500,2870,,12.5,36.1,
2026-07-31 02:09:09,node,ze-worker-node,213,1852,,5.3,23.3,
2026-07-31 02:09:15,deployment,details-v1,6,21,1,,,
2026-07-31 02:09:15,deployment,productpage-v1,44,298,1,,,
2026-07-31 02:09:15,http_p95_latency,productpage-v1,,,,,,45.5
2026-07-31 02:09:15,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:09:15,deployment,reviews-v1,2,96,1,,,
2026-07-31 02:09:15,deployment,reviews-v2,2,120,1,,,
2026-07-31 02:09:15,deployment,reviews-v3,3,123,1,,,
2026-07-31 02:09:15,node,ze-master-node,500,2870,,12.5,36.1,
2026-07-31 02:09:15,node,ze-worker-node,213,1852,,5.3,23.3,
2026-07-31 02:09:21,deployment,details-v1,8,21,1,,,
2026-07-31 02:09:21,deployment,productpage-v1,50,298,1,,,
2026-07-31 02:09:21,http_p95_latency,productpage-v1,,,,,,45.5
2026-07-31 02:09:21,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:09:21,deployment,reviews-v1,1,96,1,,,
2026-07-31 02:09:21,deployment,reviews-v2,3,120,1,,,
2026-07-31 02:09:21,deployment,reviews-v3,4,123,1,,,
2026-07-31 02:09:21,node,ze-master-node,495,2868,,12.4,36.1,
2026-07-31 02:09:21,node,ze-worker-node,300,1851,,7.5,23.3,
2026-07-31 02:09:28,deployment,details-v1,8,21,1,,,
2026-07-31 02:09:28,deployment,productpage-v1,50,298,1,,,
2026-07-31 02:09:28,http_p95_latency,productpage-v1,,,,,,45.6
2026-07-31 02:09:28,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:09:28,deployment,reviews-v1,1,96,1,,,
2026-07-31 02:09:28,deployment,reviews-v2,3,120,1,,,
2026-07-31 02:09:28,deployment,reviews-v3,4,123,1,,,
2026-07-31 02:09:28,node,ze-master-node,495,2868,,12.4,36.1,
2026-07-31 02:09:28,node,ze-worker-node,300,1851,,7.5,23.3,
2026-07-31 02:09:33,deployment,details-v1,8,21,1,,,
2026-07-31 02:09:33,deployment,productpage-v1,50,298,1,,,
2026-07-31 02:09:33,http_p95_latency,productpage-v1,,,,,,45.6
2026-07-31 02:09:33,deployment,ratings-v1,1,24,1,,,
2026-07-31 02:09:33,deployment,reviews-v1,1,96,1,,,
2026-07-31 02:09:33,deployment,reviews-v2,3,120,1,,,
2026-07-31 02:09:33,deployment,reviews-v3,3,123,1,,,
2026-07-31 02:09:33,node,ze-master-node,549,2824,,13.7,35.6,
2026-07-31 02:09:33,node,ze-worker-node,216,1854,,5.4,23.3,
2026-07-31 02:09:39,deployment,details-v1,6,21,1,,,
2026-07-31 02:09:39,deployment,productpage-v1,50,298,1,,,
2026-07-31 02:09:39,http_p95_latency,productpage-v1,,,,,,45.6
2026-07-31 02:09:39,deployment,ratings-v1,1,24,1,,,
