Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-07-30 22:30:51,deployment,details-v1,0,20,1,,,
2026-07-30 22:30:51,deployment,productpage-v1,2,298,1,,,
2026-07-30 22:30:51,http_p95_latency,productpage-v1,,,,,,0.0
2026-07-30 22:30:51,deployment,ratings-v1,0,22,1,,,
2026-07-30 22:30:51,deployment,reviews-v1,1,95,1,,,
2026-07-30 22:30:51,deployment,reviews-v2,1,118,1,,,
2026-07-30 22:30:51,deployment,reviews-v3,2,114,1,,,
2026-07-30 22:30:51,node,ze-master-node,439,3296,,11.0,41.5,
2026-07-30 22:30:51,node,ze-worker-node,199,1415,,5.0,17.8,
2026-07-30 22:30:57,deployment,details-v1,0,20,1,,,
2026-07-30 22:30:57,deployment,productpage-v1,2,298,1,,,
2026-07-30 22:30:57,http_p95_latency,productpage-v1,,,,,,900.0
2026-07-30 22:30:57,deployment,ratings-v1,0,22,1,,,
2026-07-30 22:30:57,deployment,reviews-v1,1,95,1,,,
2026-07-30 22:30:57,deployment,reviews-v2,1,118,1,,,
2026-07-30 22:30:57,deployment,reviews-v3,2,114,1,,,
2026-07-30 22:30:57,node,ze-master-node,439,3296,,11.0,41.5,
2026-07-30 22:30:57,node,ze-worker-node,199,1415,,5.0,17.8,
2026-07-30 22:31:03,deployment,details-v1,0,20,1,,,
2026-07-30 22:31:03,deployment,productpage-v1,2,298,1,,,
2026-07-30 22:31:03,http_p95_latency,productpage-v1,,,,,,900.0
2026-07-30 22:31:03,deployment,ratings-v1,0,22,1,,,
2026-07-30 22:31:03,deployment,reviews-v1,1,95,1,,,
2026-07-30 22:31:03,deployment,reviews-v2,1,118,1,,,
2026-07-30 22:31:03,deployment,reviews-v3,2,114,1,,,
2026-07-30 22:31:03,node,ze-master-node,1391,3441,,34.8,43.3,
2026-07-30 22:31:03,node,ze-worker-node,1185,1710,,29.6,21.5,
2026-07-30 22:31:09,deployment,details-v1,5,20,1,,,
2026-07-30 22:31:09,deployment,productpage-v1,33,298,1,,,
2026-07-30 22:31:09,http_p95_latency,productpage-v1,,,,,,900.0
2026-07-30 22:31:09,deployment,ratings-v1,1,22,1,,,
2026-07-30 22:31:09,deployment,reviews-v1,3,95,1,,,
2026-07-30 22:31:09,deployment,reviews-v2,6,118,1,,,
2026-07-30 22:31:09,deployment,reviews-v3,2,114,1,,,
2026-07-30 22:31:09,node,ze-master-node,1391,3441,,34.8,43.3,
2026-07-30 22:31:09,node,ze-worker-node,1185,1710,,29.6,21.5,
2026-07-30 22:31:15,deployment,details-v1,5,20,1,,,
2026-07-30 22:31:15,deployment,productpage-v1,33,298,1,,,
2026-07-30 22:31:15,http_p95_latency,productpage-v1,,,,,,587.5
2026-07-30 22:31:15,deployment,ratings-v1,1,22,1,,,
2026-07-30 22:31:15,deployment,reviews-v1,3,95,1,,,
2026-07-30 22:31:15,deployment,reviews-v2,6,118,1,,,
2026-07-30 22:31:15,deployment,reviews-v3,2,114,1,,,
2026-07-30 22:31:15,node,ze-master-node,1391,3441,,34.8,43.3,
2026-07-30 22:31:15,node,ze-worker-node,1185,1710,,29.6,21.5,
2026-07-30 22:31:22,deployment,details-v1,6,20,1,,,
2026-07-30 22:31:22,deployment,productpage-v1,45,298,1,,,
2026-07-30 22:31:22,http_p95_latency,productpage-v1,,,,,,587.5
2026-07-30 22:31:22,deployment,ratings-v1,1,22,1,,,
2026-07-30 22:31:22,deployment,reviews-v1,2,95,1,,,
2026-07-30 22:31:22,deployment,reviews-v2,6,118,1,,,
2026-07-30 22:31:22,deployment,reviews-v3,8,114,1,,,
2026-07-30 22:31:22,node,ze-master-node,512,3451,,12.8,43.5,
2026-07-30 22:31:22,node,ze-worker-node,215,1712,,5.4,21.6,
2026-07-30 22:31:28,deployment,details-v1,6,20,1,,,
2026-07-30 22:31:28,deployment,productpage-v1,45,298,1,,,
2026-07-30 22:31:28,http_p95_latency,productpage-v1,,,,,,340.6
2026-07-30 22:31:28,deployment,ratings-v1,1,22,1,,,
2026-07-30 22:31:28,deployment,reviews-v1,2,95,1,,,
2026-07-30 22:31:28,deployment,reviews-v2,6,118,1,,,
2026-07-30 22:31:28,deployment,reviews-v3,8,114,1,,,
2026-07-30 22:31:28,node,ze-master-node,512,3451,,12.8,43.5,
2026-07-30 22:31:28,node,ze-worker-node,215,1712,,5.4,21.6,
2026-07-30 22:31:34,deployment,details-v1,6,20,1,,,
2026-07-30 22:31:34,deployment,productpage-v1,53,298,1,,,
2026-07-30 22:31:34,http_p95_latency,productpage-v1,,,,,,340.6
2026-07-30 22:31:34,deployment,ratings-v1,1,22,1,,,
2026-07-30 22:31:34,deployment,reviews-v1,2,95,1,,,
2026-07-30 22:31:34,deployment,reviews-v2,3,118,1,,,
2026-07-30 22:31:34,deployment,reviews-v3,3,114,1,,,
2026-07-30 22:31:34,node,ze-master-node,537,3451,,13.4,43.5,
2026-07-30 22:31:34,node,ze-worker-node,243,1712,,6.1,21.6,
2026-07-30 22:31:40,deployment,details-v1,6,20,1,,,
2026-07-30 22:31:40,deployment,productpage-v1,53,298,1,,,
2026-07-30 22:31:40,http_p95_latency,productpage-v1,,,,,,340.6
2026-07-30 22:31:40,deployment,ratings-v1,1,22,1,,,
2026-07-30 22:31:40,deployment,reviews-v1,2,95,1,,,
2026-07-30 22:31:40,deployment,reviews-v2,3,118,1,,,
2026-07-30 22:31:40,deployment,reviews-v3,3,114,1,,,
2026-07-30 22:31:40,node,ze-master-node,537,3451,,13.4,43.5,
2026-07-30 22:31:40,node,ze-worker-node,243,1712,,6.1,21.6,
2026-07-30 22:31:47,deployment,details-v1,6,20,1,,,
2026-07-30 22:31:47,deployment,productpage-v1,53,298,1,,,
2026-07-30 22:31:47,http_p95_latency,productpage-v1,,,,,,48.8
2026-07-30 22:31:47,deployment,ratings-v1,1,22,1,,,
2026-07-30 22:31:47,deployment,reviews-v1,2,95,1,,,
2026-07-30 22:31:47,deployment,reviews-v2,3,118,1,,,
2026-07-30 22:31:47,deployment,reviews-v3,3,114,1,,,
2026-07-30 22:31:47,node,ze-master-node,537,3451,,13.4,43.5,
2026-07-30 22:31:47,node,ze-worker-node,243,1712,,6.1,21.6,
2026-07-30 22:31:53,deployment,details-v1,7,20,1,,,
2026-07-30 22:31:53,deployment,productpage-v1,53,298,1,,,
2026-07-30 22:31:53,http_p95_latency,productpage-v1,,,,,,48.8
2026-07-30 22:31:53,deployment,ratings-v1,2,22,1,,,
2026-07-30 22:31:53,deployment,reviews-v1,2,95,1,,,
2026-07-30 22:31:53,deployment,reviews-v2,5,118,1,,,
2026-07-30 22:31:53,deployment,reviews-v3,4,114,1,,,
2026-07-30 22:31:53,node,ze-master-node,559,3434,,14.0,43.2,
2026-07-30 22:31:53,node,ze-worker-node,213,1713,,5.3,21.6,
2026-07-30 22:31:59,deployment,details-v1,7,20,1,,,
2026-07-30 22:31:59,deployment,productpage-v1,53,298,1,,,
2026-07-30 22:31:59,http_p95_latency,productpage-v1,,,,,,47.8
2026-07-30 22:31:59,deployment,ratings-v1,2,22,1,,,
2026-07-30 22:31:59,deployment,reviews-v1,2,95,1,,,
2026-07-30 22:31:59,deployment,reviews-v2,5,118,1,,,
2026-07-30 22:31:59,deployment,reviews-v3,4,114,1,,,
2026-07-30 22:31:59,node,ze-master-node,559,3434,,14.0,43.2,
2026-07-30 22:31:59,node,ze-worker-node,213,1713,,5.3,21.6,
