,count
1,60
2,120
3,180
4,240
5,300
6,360
7,420
8,480
9,540
10,600
11,682
12,545
13,531
14,634
15,862
16,1055
17,1062
18,929
19,750
20,660
21,489
22,580
23,682
24,970
25,1036
26,986
27,793
28,711
29,554
30,477
31,613
32,816
33,1046
34,1037
35,927
36,721
37,658
38,488
39,564
40,661
41,935
42,1027
43,985
44,788
45,667
46,552
47,469
48,582
49,707
50,918
51,871
52,788
53,564
54,482
55,406
56,411
57,525
58,652
59,768
60,742
61,654
62,515
63,471
64,393
65,509
66,645
67,806
68,915
69,883
70,688
