Timestamp,Scope,Name,HTTP_RPM,HTTP_LAT_ms,gRPC_RPM,gRPC_LAT_ms,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,NET_RX_Bps,NET_TX_Bps
2026-04-02 10:58:24,service,details-v1,0.0,0.0,0.0,0.0,0,25,1,,,,
2026-04-02 10:58:24,service,productpage-v1,0.0,0.0,0.0,0.0,6,1692,8,,,,
2026-04-02 10:58:24,service,ratings-v1,0.0,0.0,0.0,0.0,0,30,1,,,,
2026-04-02 10:58:24,service,reviews-v1,0.0,0.0,0.0,0.0,1,102,1,,,,
2026-04-02 10:58:24,service,reviews-v2,0.0,0.0,0.0,0.0,0,247,2,,,,
2026-04-02 10:58:24,service,reviews-v3,0.0,0.0,0.0,0.0,1,124,1,,,,
2026-04-02 10:58:24,node,master,,,,,223,2823,,11.2,73.5,0.0,0.0
2026-04-02 10:58:24,node,worker,,,,,118,2051,,5.9,53.4,0.0,0.0
2026-04-02 10:58:24,node,worker-2,,,,,43,1973,,2.1,51.4,0.0,0.0
2026-04-02 10:58:31,service,details-v1,304.0,32.8,0.0,0.0,0,25,1,,,,
2026-04-02 10:58:31,service,productpage-v1,484.0,0.0,0.0,0.0,1,302,1,,,,
2026-04-02 10:58:31,service,ratings-v1,200.0,3.2,0.0,0.0,0,30,1,,,,
2026-04-02 10:58:31,service,reviews-v1,72.0,6.6,0.0,0.0,1,102,1,,,,
2026-04-02 10:58:31,service,reviews-v2,52.0,44.5,0.0,0.0,0,136,1,,,,
2026-04-02 10:58:31,service,reviews-v3,92.0,13.0,0.0,0.0,18,105,1,,,,
2026-04-02 10:58:31,node,master,,,,,629,2243,,31.4,58.4,0.0,0.0
2026-04-02 10:58:31,node,worker,,,,,338,1246,,16.9,32.5,0.0,0.0
2026-04-02 10:58:31,node,worker-2,,,,,36,1973,,1.8,51.4,0.0,0.0
2026-04-02 10:58:37,service,details-v1,876.4,20.3,0.0,0.0,0,25,1,,,,
2026-04-02 10:58:37,service,productpage-v1,484.0,0.0,0.0,0.0,1,302,1,,,,
2026-04-02 10:58:37,service,ratings-v1,564.2,2.5,0.0,0.0,0,30,1,,,,
2026-04-02 10:58:37,service,reviews-v1,192.1,4.5,0.0,0.0,1,102,1,,,,
2026-04-02 10:58:37,service,reviews-v2,176.1,27.1,0.0,0.0,0,136,1,,,,
2026-04-02 10:58:37,service,reviews-v3,232.1,11.0,0.0,0.0,18,105,1,,,,
2026-04-02 10:58:37,node,master,,,,,629,2243,,31.4,58.4,0.0,0.0
2026-04-02 10:58:37,node,worker,,,,,338,1246,,16.9,32.5,0.0,0.0
2026-04-02 10:58:37,node,worker-2,,,,,36,1973,,1.8,51.4,0.0,0.0
2026-04-02 10:58:42,service,details-v1,876.4,20.3,0.0,0.0,0,25,1,,,,
2026-04-02 10:58:42,service,productpage-v1,484.0,0.0,0.0,0.0,1,302,1,,,,
2026-04-02 10:58:42,service,ratings-v1,564.2,2.5,0.0,0.0,0,30,1,,,,
2026-04-02 10:58:42,service,reviews-v1,192.1,4.5,0.0,0.0,1,102,1,,,,
2026-04-02 10:58:42,service,reviews-v2,176.1,27.1,0.0,0.0,0,136,1,,,,
