experiment_name,request_rate,workload_csv,hpa_mode,cpu_target,setup_ok,ready_for_load,monitor_log_file,locust_stats_csv,locust_failures_csv,locust_exceptions_csv,locust_stats_history_csv,cleanup_ok,status,error_message
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpanone_default_5s_20260331_164734.csv,,,,,False,failed,"Command '['locust', '-f', 'load/book-info/wiki_locustfile.py', '--headless', '-t', '120s', '--host', 'http://18.169.241.77:80', '--csv', 'tmp/locust/bookinfo_rps100_hpa_none', '--only-summary']' returned non-zero exit status 1."
bookinfo_rps100_hpa_cpu20,100,load/book-info/workloads/constant-100.csv,cpu,20,,,,,,,,True,failed,409 Client Error: Conflict for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,,,,,,,,True,failed,409 Client Error: Conflict for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,,,,,,,,True,failed,409 Client Error: Conflict for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,,,,,,,,False,failed,500 Server Error: Internal Server Error for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps300_hpa_none,300,load/book-info/workloads/constant-300.csv,none,,,,,,,,,False,failed,500 Server Error: Internal Server Error for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps500_hpa_none,500,load/book-info/workloads/constant-500.csv,none,,,,,,,,,False,failed,500 Server Error: Internal Server Error for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,,,,,,,,False,failed,500 Server Error: Internal Server Error for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps300_hpa_none,300,load/book-info/workloads/constant-300.csv,none,,,,,,,,,False,failed,500 Server Error: Internal Server Error for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps500_hpa_none,500,load/book-info/workloads/constant-500.csv,none,,,,,,,,,False,failed,500 Server Error: Internal Server Error for url: http://18.169.241.77:8000/experiment/setup
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpanone_default_5s_20260331_171712.csv,,,,,True,failed,"Command '['locust', '-f', 'load/book-info/wiki_locustfile.py', '--headless', '-t', '120s', '--host', 'http://18.169.241.77:8080', '--csv', 'tmp/locust/bookinfo_rps100_hpa_none', '--only-summary']' returned non-zero exit status 1."
bookinfo_rps300_hpa_none,300,load/book-info/workloads/constant-300.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rps300_hpanone_default_5s_20260331_171924.csv,,,,,True,failed,"Command '['locust', '-f', 'load/book-info/wiki_locustfile.py', '--headless', '-t', '120s', '--host', 'http://18.169.241.77:8080', '--csv', 'tmp/locust/bookinfo_rps300_hpa_none', '--only-summary']' returned non-zero exit status 1."
bookinfo_rps500_hpa_none,500,load/book-info/workloads/constant-500.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rps500_hpanone_default_5s_20260331_172136.csv,,,,,True,failed,"Command '['locust', '-f', 'load/book-info/wiki_locustfile.py', '--headless', '-t', '120s', '--host', 'http://18.169.241.77:8080', '--csv', 'tmp/locust/bookinfo_rps500_hpa_none', '--only-summary']' returned non-zero exit status 1."
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpanone_default_5s_20260331_173605.csv,tmp/locust/bookinfo_rps100_hpa_none_stats.csv,tmp/locust/bookinfo_rps100_hpa_none_failures.csv,tmp/locust/bookinfo_rps100_hpa_none_exceptions.csv,tmp/locust/bookinfo_rps100_hpa_none_stats_history.csv,True,success,
bookinfo_rps100_hpa_cpu20,100,load/book-info/workloads/constant-100.csv,cpu,20,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpacpu20_default_5s_20260331_173816.csv,tmp/locust/bookinfo_rps100_hpa_cpu20_stats.csv,tmp/locust/bookinfo_rps100_hpa_cpu20_failures.csv,tmp/locust/bookinfo_rps100_hpa_cpu20_exceptions.csv,tmp/locust/bookinfo_rps100_hpa_cpu20_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_rps100_hpa_cpu50,100,load/book-info/workloads/constant-100.csv,cpu,50,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpacpu50_default_5s_20260331_174031.csv,tmp/locust/bookinfo_rps100_hpa_cpu50_stats.csv,tmp/locust/bookinfo_rps100_hpa_cpu50_failures.csv,tmp/locust/bookinfo_rps100_hpa_cpu50_exceptions.csv,tmp/locust/bookinfo_rps100_hpa_cpu50_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpanone_default_5s_20260331_174652.csv,tmp/locust/bookinfo_rps100_hpa_none_stats.csv,tmp/locust/bookinfo_rps100_hpa_none_failures.csv,tmp/locust/bookinfo_rps100_hpa_none_exceptions.csv,tmp/locust/bookinfo_rps100_hpa_none_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpanone_default_5s_20260331_175004.csv,tmp/locust/bookinfo_rps100_hpa_none_stats.csv,tmp/locust/bookinfo_rps100_hpa_none_failures.csv,tmp/locust/bookinfo_rps100_hpa_none_exceptions.csv,tmp/locust/bookinfo_rps100_hpa_none_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_rps100_hpa_none,100,load/book-info/workloads/constant-100.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpanone_default_5s_20260331_175315.csv,tmp/locust/bookinfo_rps100_hpa_none_stats.csv,tmp/locust/bookinfo_rps100_hpa_none_failures.csv,tmp/locust/bookinfo_rps100_hpa_none_exceptions.csv,tmp/locust/bookinfo_rps100_hpa_none_stats_history.csv,True,success,
bookinfo_rps100_hpa_cpu20,100,load/book-info/workloads/constant-100.csv,cpu,20,True,True,/app/logs/mesh_metrics_bookinfo_rps100_hpacpu20_default_5s_20260331_175627.csv,tmp/locust/bookinfo_rps100_hpa_cpu20_stats.csv,tmp/locust/bookinfo_rps100_hpa_cpu20_failures.csv,tmp/locust/bookinfo_rps100_hpa_cpu20_exceptions.csv,tmp/locust/bookinfo_rps100_hpa_cpu20_stats_history.csv,True,completed_with_failures,Locust exit code 1
