Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774984278,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774984279,20,,Aggregated,0.000000,0.000000,200,380,480,480,540,580,580,580,580,580,580,40,0,190.0,248.5434730508132,23.71524996124208,580.7967920554802,7076.475
1774984280,40,,Aggregated,0.000000,0.000000,220,310,410,480,530,580,810,830,830,830,830,100,0,210.0,260.75395465129986,23.71524996124208,830.3855420090258,6528.78
1774984281,60,,Aggregated,11.000000,0.000000,190,290,320,390,480,540,700,810,830,830,830,173,0,190.0,237.50193023346256,23.71524996124208,830.3855420090258,5895.410404624277
1774984282,80,,Aggregated,29.500000,0.000000,200,290,320,390,480,540,670,810,830,830,830,249,0,200.0,240.5316760781292,23.71524996124208,830.3855420090258,5871.991967871486
1774984283,100,,Aggregated,41.333333,0.000000,210,310,400,470,580,700,830,900,1000,1000,1000,323,0,210.0,281.1996023218946,23.71524996124208,997.287041042,5526.3250773993805
1774984284,120,,Aggregated,49.500000,0.000000,270,390,480,530,710,890,1000,1200,1800,1800,1800,409,0,270.0,337.14507958905267,23.71524996124208,1772.2166670719162,5172.843520782396
1774984285,140,,Aggregated,54.600000,0.000000,290,410,520,600,850,1100,1600,1700,2000,2000,2000,475,0,290.0,387.7896123889245,23.71524996124208,2016.4282909827307,5132.44
1774984286,160,,Aggregated,57.500000,0.000000,310,500,670,790,1100,1500,1600,1800,2300,2300,2300,557,0,310.0,470.2535700420824,23.71524996124208,2321.8095829943195,4794.095152603231
1774984287,180,,Aggregated,61.142857,0.000000,330,580,800,920,1300,1600,2200,2500,2900,2900,2900,629,0,330.0,551.2483800581504,23.71524996124208,2853.231333079748,4789.400635930047
1774984288,200,,Aggregated,61.875000,0.000000,380,620,900,1000,1500,1900,2500,2600,3000,3000,3000,695,0,380.0,614.4004903725355,23.71524996124208,2980.0837500952184,4710.343884892086
1774984289,220,,Aggregated,64.666667,0.000000,400,700,1000,1200,1600,2300,2600,2900,3800,3800,3800,751,0,400.0,689.0744377157345,23.71524996124208,3797.5494579877704,4590.14913448735
1774984290,240,,Aggregated,65.800000,0.000000,420,880,1200,1500,2100,2600,3100,3600,4000,4000,4000,828,0,410.0,803.9830331883229,23.71524996124208,3995.7410420756787,4599.375603864734
1774984291,260,,Aggregated,70.800000,0.000000,480,920,1400,1500,2300,2900,3600,3900,5100,5100,5100,898,0,470.0,884.9416784336738,23.71524996124208,5112.994124996476,4560.526726057907
1774984292,280,,Aggregated,71.700000,0.000000,480,1000,1500,1700,2500,3200,3800,3900,5900,5900,5900,949,0,480.0,959.9014467671876,23.71524996124208,5886.805749963969,4589.664910432034
1774984293,300,,Aggregated,73.200000,0.000000,510,1200,1600,2000,2800,3700,4200,4700,6000,6500,6500,1021,0,510.0,1085.2436202508238,23.71524996124208,6539.142208057456,4607.105778648384
1774984294,320,,Aggregated,72.200000,0.000000,580,1400,1900,2300,3300,4000,4700,5900,6500,6600,6600,1093,0,580.0,1206.8992168961045,23.71524996124208,6588.319665985182,4614.0411710887465
