Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775127503,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775127504,20,,Aggregated,0.000000,0.000000,310,470,500,590,610,660,760,760,760,760,760,40,0,200.0,310.81318649230525,27.19366690143943,756.4928340725601,6773.825
1775127505,24,,Aggregated,0.000000,0.000000,100,200,420,470,600,610,660,760,760,760,760,68,0,99,208.8383597369744,24.07149993814528,756.4928340725601,5752.911764705882
1775127506,24,,Aggregated,38.000000,0.000000,64,110,200,380,500,610,660,760,760,760,760,92,0,63,165.07721925533943,22.89920800831169,756.4928340725601,5172.45652173913
1775127507,24,,Aggregated,31.500000,0.000000,44,74,120,200,480,600,650,660,760,760,760,116,0,43,138.14562754123472,22.89920800831169,756.4928340725601,4319.681034482759
1775127508,24,,Aggregated,28.000000,0.000000,41,64,99,150,470,600,650,660,760,760,760,140,0,41,121.28286964975165,22.89920800831169,756.4928340725601,4006.2785714285715
1775127509,24,,Aggregated,26.750000,0.000000,41,63,82,110,420,520,610,660,760,760,760,161,0,41,112.36542832722414,22.89920800831169,756.4928340725601,4056.2670807453414
1775127510,24,,Aggregated,26.000000,0.000000,41,60,78,100,380,500,610,660,760,760,760,183,0,41,105.13922975454581,22.89920800831169,756.4928340725601,4029.8579234972676
1775127511,24,,Aggregated,24.833333,0.000000,39,53,71,85,210,490,610,650,760,760,760,207,0,39,97.23933071408709,22.89920800831169,756.4928340725601,3954.7391304347825
1775127512,24,,Aggregated,24.285714,0.000000,37,51,67,77,200,480,610,650,760,760,760,231,0,37,90.93365908924942,22.89920800831169,756.4928340725601,3766.160173160173
1775127513,24,,Aggregated,24.000000,0.000000,36,49,63,74,170,470,600,650,760,760,760,252,0,36,86.16137863894451,22.89920800831169,756.4928340725601,3591.9285714285716
1775127514,24,,Aggregated,24.000000,0.000000,36,47,62,71,150,470,600,650,760,760,760,275,0,36,82.04896969720721,22.89920800831169,756.4928340725601,3542.8
1775127515,24,,Aggregated,24.000000,0.000000,36,45,60,67,130,460,600,650,760,760,760,298,0,36,78.43322078494242,22.89920800831169,756.4928340725601,3451.181208053691
1775127516,24,,Aggregated,22.600000,0.000000,36,45,60,67,120,460,600,610,760,760,760,316,0,36,76.4989644090816,22.89920800831169,756.4928340725601,3375.493670886076
1775127517,24,,Aggregated,22.500000,0.000000,36,45,60,66,110,420,600,610,760,760,760,338,0,36,74.3292837855599,22.89920800831169,756.4928340725601,3420.630177514793
1775127518,24,,Aggregated,22.600000,0.000000,35,44,59,64,110,400,590,610,760,760,760,360,0,35,71.9117257071452,22.89920800831169,756.4928340725601,3267.2055555555557
1775127519,24,,Aggregated,22.700000,0.000000,35,41,55,63,97,310,590,610,760,760,760,384,0,35,69.69349002883973,22.89920800831169,756.4928340725601,3242.5572916666665
1775127520,24,,Aggregated,22.700000,0.000000,35,41,52,63,90,210,520,610,760,760,760,408,0,35,67.81866127001943,22.89920800831169,756.4928340725601,3220.973039215686
1775127521,24,,Aggregated,23.100000,0.000000,34,40,51,62,84,200,520,610,760,760,760,432,0,34,65.93669734758333,22.89920800831169,756.4928340725601,3148.1111111111113
1775127522,24,,Aggregated,23.400000,0.000000,34,40,51,62,81,200,500,610,760,760,760,456,0,34,64.58160920163591,22.89920800831169,756.4928340725601,3159.1688596491226
1775127523,24,,Aggregated,23.400000,0.000000,34,40,50,62,77,200,500,610,760,760,760,476,0,34,63.50659367143169,22.89920800831169,756.4928340725601,3162.0672268907565
