Timestamp,Scope,Name,HTTP_RPM,HTTP_LAT_ms,gRPC_RPM,gRPC_LAT_ms,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,NET_RX_Bps,NET_TX_Bps
2026-03-31 17:50:04,service,details-v1,4224.0,7.8,0.0,0.0,47,23,1,,,,
2026-03-31 17:50:04,service,productpage-v1,3212.0,106.4,0.0,0.0,336,277,1,,,,
2026-03-31 17:50:04,service,ratings-v1,2508.0,1.9,0.0,0.0,10,31,1,,,,
2026-03-31 17:50:04,service,reviews-v1,856.0,2.7,0.0,0.0,4,98,1,,,,
2026-03-31 17:50:04,service,reviews-v2,916.0,6.4,0.0,0.0,16,121,1,,,,
2026-03-31 17:50:04,service,reviews-v3,856.0,7.9,0.0,0.0,14,102,1,,,,
2026-03-31 17:50:04,node,master,,,,,728,2099,,36.4,54.7,0.0,0.0
2026-03-31 17:50:04,node,worker,,,,,131,1525,,6.6,39.7,0.0,0.0
2026-03-31 17:50:04,node,worker-2,,,,,81,880,,4.0,22.9,0.0,0.0
2026-03-31 17:50:10,service,details-v1,2276.0,8.0,0.0,0.0,47,23,1,,,,
2026-03-31 17:50:10,service,productpage-v1,3212.0,106.4,0.0,0.0,336,277,1,,,,
2026-03-31 17:50:10,service,ratings-v1,1272.0,1.7,0.0,0.0,10,31,1,,,,
2026-03-31 17:50:10,service,reviews-v1,492.0,2.5,0.0,0.0,4,98,1,,,,
2026-03-31 17:50:10,service,reviews-v2,464.0,6.0,0.0,0.0,16,121,1,,,,
2026-03-31 17:50:10,service,reviews-v3,480.0,8.0,0.0,0.0,14,102,1,,,,
2026-03-31 17:50:10,node,master,,,,,728,2099,,36.4,54.7,0.0,0.0
2026-03-31 17:50:10,node,worker,,,,,131,1525,,6.6,39.7,0.0,0.0
2026-03-31 17:50:10,node,worker-2,,,,,81,880,,4.0,22.9,0.0,0.0
2026-03-31 17:50:16,service,details-v1,2720.0,9.0,0.0,0.0,20,23,1,,,,
2026-03-31 17:50:16,service,productpage-v1,3268.0,160.5,0.0,0.0,118,278,1,,,,
2026-03-31 17:50:16,service,ratings-v1,1544.0,2.1,0.0,0.0,3,31,1,,,,
2026-03-31 17:50:16,service,reviews-v1,632.0,2.7,0.0,0.0,2,98,1,,,,
2026-03-31 17:50:16,service,reviews-v2,576.0,7.3,0.0,0.0,5,121,1,,,,
2026-03-31 17:50:16,service,reviews-v3,580.0,8.9,0.0,0.0,4,102,1,,,,
2026-03-31 17:50:16,node,master,,,,,413,2102,,20.6,54.8,0.0,0.0
2026-03-31 17:50:16,node,worker,,,,,85,1526,,4.2,39.7,0.0,0.0
2026-03-31 17:50:16,node,worker-2,,,,,52,879,,2.6,22.9,0.0,0.0
2026-03-31 17:50:22,service,details-v1,4676.0,9.8,0.0,0.0,20,23,1,,,,
2026-03-31 17:50:22,service,productpage-v1,3268.0,160.5,0.0,0.0,118,278,1,,,,
2026-03-31 17:50:22,service,ratings-v1,2716.0,2.5,0.0,0.0,3,31,1,,,,
2026-03-31 17:50:22,service,reviews-v1,1060.0,3.0,0.0,0.0,2,98,1,,,,
2026-03-31 17:50:22,service,reviews-v2,996.0,8.3,0.0,0.0,5,121,1,,,,
2026-03-31 17:50:22,service,reviews-v3,896.0,10.0,0.0,0.0,4,102,1,,,,
2026-03-31 17:50:22,node,master,,,,,413,2102,,20.6,54.8,0.0,0.0
2026-03-31 17:50:22,node,worker,,,,,85,1526,,4.2,39.7,0.0,0.0
2026-03-31 17:50:22,node,worker-2,,,,,52,879,,2.6,22.9,0.0,0.0
2026-03-31 17:50:29,service,details-v1,4676.0,9.8,0.0,0.0,55,23,1,,,,
2026-03-31 17:50:29,service,productpage-v1,3268.0,160.5,0.0,0.0,389,278,1,,,,
2026-03-31 17:50:29,service,ratings-v1,2716.0,2.5,0.0,0.0,9,31,1,,,,
