Timestamp,Scope,Name,HTTP_RPM,HTTP_LAT_ms,gRPC_RPM,gRPC_LAT_ms,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,NET_RX_Bps,NET_TX_Bps
2026-03-31 18:58:25,service,details-v1,8632.0,16.6,0.0,0.0,48,25,1,,,,
2026-03-31 18:58:25,service,productpage-v1,12392.0,48.0,0.0,0.0,771,1666,7,,,,
2026-03-31 18:58:25,service,ratings-v1,4856.0,9.0,0.0,0.0,16,32,1,,,,
2026-03-31 18:58:25,service,reviews-v1,1996.0,9.1,0.0,0.0,15,100,1,,,,
2026-03-31 18:58:25,service,reviews-v2,1460.0,28.7,0.0,0.0,42,123,1,,,,
2026-03-31 18:58:25,service,reviews-v3,1760.0,24.3,0.0,0.0,72,108,1,,,,
2026-03-31 18:58:25,node,master,,,,,1488,2844,,74.4,74.1,0.0,0.0
2026-03-31 18:58:25,node,worker,,,,,653,2427,,32.6,63.2,0.0,0.0
2026-03-31 18:58:25,node,worker-2,,,,,787,1843,,39.4,48.0,0.0,0.0
2026-03-31 18:58:31,service,details-v1,3740.0,14.0,0.0,0.0,34,24,1,,,,
2026-03-31 18:58:31,service,productpage-v1,1116.0,167.3,0.0,0.0,117,292,1,,,,
2026-03-31 18:58:31,service,ratings-v1,2112.0,6.4,0.0,0.0,2,32,1,,,,
2026-03-31 18:58:31,service,reviews-v1,928.0,6.4,0.0,0.0,1,100,1,,,,
2026-03-31 18:58:31,service,reviews-v2,716.0,20.0,0.0,0.0,42,123,1,,,,
2026-03-31 18:58:31,service,reviews-v3,800.0,18.4,0.0,0.0,22,107,1,,,,
2026-03-31 18:58:31,node,master,,,,,636,2773,,31.8,72.2,0.0,0.0
2026-03-31 18:58:31,node,worker,,,,,358,2022,,17.9,52.7,0.0,0.0
2026-03-31 18:58:31,node,worker-2,,,,,587,736,,29.3,19.2,0.0,0.0
2026-03-31 18:58:38,service,details-v1,2956.0,10.2,0.0,0.0,34,24,1,,,,
2026-03-31 18:58:38,service,productpage-v1,1116.0,167.3,0.0,0.0,117,292,1,,,,
2026-03-31 18:58:38,service,ratings-v1,1656.0,3.2,0.0,0.0,2,32,1,,,,
2026-03-31 18:58:38,service,reviews-v1,780.0,5.1,0.0,0.0,1,100,1,,,,
2026-03-31 18:58:38,service,reviews-v2,676.0,13.7,0.0,0.0,42,123,1,,,,
2026-03-31 18:58:38,service,reviews-v3,664.0,12.1,0.0,0.0,22,107,1,,,,
2026-03-31 18:58:38,node,master,,,,,636,2773,,31.8,72.2,0.0,0.0
2026-03-31 18:58:38,node,worker,,,,,358,2022,,17.9,52.7,0.0,0.0
2026-03-31 18:58:38,node,worker-2,,,,,587,736,,29.3,19.2,0.0,0.0
2026-03-31 18:58:43,service,details-v1,2956.0,10.2,0.0,0.0,34,24,1,,,,
2026-03-31 18:58:43,service,productpage-v1,1116.0,167.3,0.0,0.0,117,292,1,,,,
2026-03-31 18:58:43,service,ratings-v1,1656.0,3.2,0.0,0.0,2,32,1,,,,
2026-03-31 18:58:43,service,reviews-v1,780.0,5.1,0.0,0.0,1,100,1,,,,
2026-03-31 18:58:43,service,reviews-v2,676.0,13.7,0.0,0.0,6,122,1,,,,
2026-03-31 18:58:43,service,reviews-v3,664.0,12.1,0.0,0.0,18,107,1,,,,
2026-03-31 18:58:43,node,master,,,,,695,1948,,34.8,50.7,0.0,0.0
2026-03-31 18:58:43,node,worker,,,,,655,1887,,32.8,49.2,0.0,0.0
2026-03-31 18:58:43,node,worker-2,,,,,230,721,,11.5,18.8,0.0,0.0
2026-03-31 18:58:49,service,details-v1,4976.0,6.2,0.0,0.0,36,25,1,,,,
2026-03-31 18:58:49,service,productpage-v1,4708.0,1703.3,0.0,0.0,233,298,1,,,,
2026-03-31 18:58:49,service,ratings-v1,2780.0,3.5,0.0,0.0,8,32,1,,,,
2026-03-31 18:58:49,service,reviews-v1,1248.0,5.1,0.0,0.0,5,100,1,,,,
2026-03-31 18:58:49,service,reviews-v2,1012.0,13.0,0.0,0.0,6,122,1,,,,
2026-03-31 18:58:49,service,reviews-v3,1112.0,12.7,0.0,0.0,18,107,1,,,,
2026-03-31 18:58:49,node,master,,,,,695,1948,,34.8,50.7,0.0,0.0
2026-03-31 18:58:49,node,worker,,,,,655,1887,,32.8,49.2,0.0,0.0
2026-03-31 18:58:49,node,worker-2,,,,,230,721,,11.5,18.8,0.0,0.0
2026-03-31 18:58:55,service,details-v1,5800.0,5.1,0.0,0.0,36,25,1,,,,
2026-03-31 18:58:55,service,productpage-v1,4708.0,1703.3,0.0,0.0,233,298,1,,,,
2026-03-31 18:58:55,service,ratings-v1,3404.0,3.8,0.0,0.0,8,32,1,,,,
2026-03-31 18:58:55,service,reviews-v1,1376.0,5.4,0.0,0.0,5,100,1,,,,
2026-03-31 18:58:55,service,reviews-v2,1188.0,13.5,0.0,0.0,6,122,1,,,,
2026-03-31 18:58:55,service,reviews-v3,1288.0,12.6,0.0,0.0,18,107,1,,,,
2026-03-31 18:58:55,node,master,,,,,695,1948,,34.8,50.7,0.0,0.0
2026-03-31 18:58:55,node,worker,,,,,655,1887,,32.8,49.2,0.0,0.0
2026-03-31 18:58:55,node,worker-2,,,,,230,721,,11.5,18.8,0.0,0.0
2026-03-31 18:59:01,service,details-v1,5928.0,5.6,0.0,0.0,57,25,1,,,,
2026-03-31 18:59:01,service,productpage-v1,6204.0,1991.8,0.0,0.0,233,298,2,,,,
2026-03-31 18:59:01,service,ratings-v1,3460.0,4.0,0.0,0.0,9,32,1,,,,
2026-03-31 18:59:01,service,reviews-v1,1312.0,5.5,0.0,0.0,5,100,1,,,,
2026-03-31 18:59:01,service,reviews-v2,1184.0,14.0,0.0,0.0,18,122,1,,,,
2026-03-31 18:59:01,service,reviews-v3,1228.0,12.6,0.0,0.0,19,107,1,,,,
2026-03-31 18:59:01,node,master,,,,,573,1951,,28.6,50.8,0.0,0.0
2026-03-31 18:59:01,node,worker,,,,,533,1883,,26.7,49.0,0.0,0.0
2026-03-31 18:59:01,node,worker-2,,,,,123,732,,6.2,19.1,0.0,0.0
