Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,68,0,1700.0,1472.6942714974832,480.9216249268502,1881.0563329607248,10216.0,25.933137485621252,0.0,1700,1700,1700,1700,1800,1800,1900,1900,1900,1900,1900
GET,//cart,10,0,360.0,407.6718583004549,194.40725003369153,664.1641249880195,6650.6,3.8136966890619486,0.0,430,430,580,590,660,660,660,660,660,660,660
POST,//cart,6,0,290.0,272.2596249853571,114.70524989999831,334.2375420033932,16244.833333333334,2.2882180134371692,0.0,290,290,310,310,330,330,330,330,330,330,330
POST,//cart/checkout,1,0,97.09516703151166,97.09516703151166,97.09516703151166,97.09516703151166,6548.0,0.38136966890619484,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,//product/0PUK6V6EV0,3,0,510.0,498.50723597531515,457.2053749579936,525.9446250274777,7669.0,1.1441090067185846,0.0,510,510,530,530,530,530,530,530,530,530,530
GET,//product/1YMWWN1N4O,3,0,470.0,473.49519437799853,466.4475000463426,482.0518749766052,7695.0,1.1441090067185846,0.0,470,470,480,480,480,480,480,480,480,480,480
GET,//product/2ZYFJ3GM2N,5,0,470.0,459.2420165427029,368.3915000874549,561.8961248546839,7709.4,1.9068483445309743,0.0,470,480,480,560,560,560,560,560,560,560,560
GET,//product/66VCHSJNUP,3,0,450.0,454.39962499464554,443.0912078823894,474.99162517488,7661.666666666667,1.1441090067185846,0.0,450,450,470,470,470,470,470,470,470,470,470
GET,//product/6E92ZMYYFZ,6,0,410.0,444.7405554431801,377.7813748456538,508.4505828563124,7646.0,2.2882180134371692,0.0,490,490,500,500,510,510,510,510,510,510,510
GET,//product/9SIQT8TOJO,4,0,490.0,499.50312526198104,478.5441670101136,524.4078750256449,7701.0,1.5254786756247793,0.0,510,510,520,520,520,520,520,520,520,520,520
GET,//product/L9ECAV7KIM,4,0,480.0,485.00073951436207,426.2138749472797,546.515041962266,7660.0,1.5254786756247793,0.0,490,490,550,550,550,550,550,550,550,550,550
GET,//product/LS4PSXUNUM,5,0,390.0,397.3243333864957,229.3269168585539,510.38104202598333,7661.6,1.9068483445309743,0.0,390,470,470,510,510,510,510,510,510,510,510
GET,//product/OLJCESPC7Z,7,0,470.0,503.4679344722203,445.4152078833431,574.3033750914037,7718.0,2.669587682343364,0.0,470,550,570,570,570,570,570,570,570,570,570
POST,//setCurrency,2,0,483.6821670178324,640.325146028772,483.6821670178324,796.9681250397116,10226.5,0.7627393378123897,0.0,800,800,800,800,800,800,800,800,800,800,800
,Aggregated,127,0,800.0,991.5275945086179,97.09516703151166,1881.0563329607248,9393.24409448819,48.43394795108675,0.0,800,1600,1700,1700,1700,1800,1800,1900,1900,1900,1900
